"contribution_id","clause_id","candidate_clause","final_clause","claim_type","evidence_source","novelty_status","support_status","required_qualifier","prohibited_interpretation","disposition"
"C1","C1-O5","operational-form semantics (grouped in candidate wording)","missing required observation -> bottom -> UNSAFE","FORMAL","appendix-c Corollary C.1b.1","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS","Scoped literature statement only: within the validated comparison set, no prior work identified combines these operational semantics with advisory-type scope governed by a classified multi-component environmental state","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-O6","operational-form semantics (grouped in candidate wording)","stale required observation -> bottom -> UNSAFE","FORMAL","appendix-c C.2.0.4; algorithm-specification.md sec.4","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS_WITH_SCOPE","age_i is left symbolic with no proposed value; report as specified but unparameterised","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-O7","operational-form semantics (grouped in candidate wording)","invalid required observation -> bottom -> UNSAFE","FORMAL","appendix-c C.2.0.3","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS","Scoped literature statement only: within the validated comparison set, no prior work identified combines these operational semantics with advisory-type scope governed by a classified multi-component environmental state","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-O8","operational-form semantics (grouped in candidate wording)","declared exclusion pinned at SAFE, the least element of the severity order","FORMAL","appendix-c C.2.0.5","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS","The pin cannot raise the classification","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-O9","operational-form semantics (grouped in candidate wording)","exclusion-before-fault evaluation order","FORMAL","algorithm-specification.md sec.4 step 1 before step 2","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS","Treating m not in archive as bottom would classify all 43,848 hours UNSAFE","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-O10","operational-form semantics (grouped in candidate wording)","D declared and fixed rather than dynamically expanding; t not in D; D strict subset of C","FORMAL","appendix-c C.2.0.5 (D1)-(D3)","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS","Scoped literature statement only: within the validated comparison set, no prior work identified combines these operational semantics with advisory-type scope governed by a classified multi-component environmental state","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-O11","operational-form semantics (grouped in candidate wording)","lower-bound interpretation when a component is excluded","FORMAL","appendix-c C.2.0.5 (D3); replay declares D = {m}","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS","Every severity figure under non-empty D is a lower bound","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-O12","operational-form semantics (grouped in candidate wording)","operational totality over the observation space","FORMAL","appendix-c Theorem C.1b","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS_WITH_SCOPE","Property exists in our formalism; not claimed as novel","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-O13","operational-form semantics (grouped in candidate wording)","fail-open / fail-safe asymmetry for kappa","FORMAL","appendix-c C.2.0.4a and Observation C.1c.1","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS","kappa defaulting to 0 is non-escalating and fail-open for that disjunct, explicitly not a fail-safe guarantee; all g_r figures are lower bounds","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-O14","operational-form semantics (grouped in candidate wording)","bottom attaches to what a classifier reads, not to the declared variable","FORMAL","appendix-c C.2.0.2; algorithm-specification.md sec.6","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS","Scoped literature statement only: within the validated comparison set, no prior work identified combines these operational semantics with advisory-type scope governed by a classified multi-component environmental state","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-O15","operational-form semantics (grouped in candidate wording)","generator-independent admissibility via RS(S) pre-reasoning supply, no post-generation filter","FORMAL","algorithm-specification.md sec.8 preconditions and postconditions","NOT_NOVEL_INDIVIDUALLY; COMBINATION_NOT_FOUND_IN_VALIDATED_SET","PASS","Mechanism-level distinction from shielding and action masking, which filter at runtime","these constructs are globally unprecedented; no prior work has observation-resolution semantics","FREEZE"
"C1","C1-L1","(absent from candidate wording)","RS(SAFE) is empty in the evaluated configuration; the SAFE arm of the pre-reasoning contract is specified but never exercised","LIMITATION","data/journal1-layer3-prototype/batch5-fidelity-evaluation/; R-SAFE-001 = DEFERRED","N/A","PASS","Must accompany every statement of C1 and of the fidelity evidence","complete SAFE advisory-space validation","FREEZE"
"SUP","SUP-01","executable conformance evaluation","The executable implementation produced zero violations of the configured advisory admissibility contract within the bounded deterministic interface-contract fidelity state space","IMPLEMENTATION_FIDELITY","data/journal1-layer3-prototype/batch5-fidelity-evaluation/fidelity-results.json (F1=0, F2=0, F3=0)","NOT_A_NOVELTY_CLAIM","PASS","Supports C1 only; sited as an executable-conformance subsection, not a third contribution","strong empirical validation of containment; real-world validation; effectiveness evidence","FREEZE"
"SUP","SUP-02","292 fidelity episodes","292 primary fidelity episodes: 32 SAFE, 260 CAUTION; 244 episodes with advisory; 16 CAUTION episodes with no advisory","IMPLEMENTATION_FIDELITY","batch5-fidelity-evaluation/fidelity-results.json; reporting-repair.json","N/A","PASS","162 UNSAFE gate-off structural cases are not part of the 292 primary episode denominator","describing the 292 fidelity episodes as the five-year replay","FREEZE"
"SUP","SUP-03","454 advisory records","454 advisory records of the single generated conclusion type Delay","IMPLEMENTATION_FIDELITY","batch5-fidelity-evaluation/rule-activation-summary.csv (R-CAUTION-001..004, all Delay)","N/A","PASS","Always state the single conclusion type alongside the record count","454 advisory types; all recommendation types exercised","FREEZE"
"C2","C2-01","empirical characterisation using retrospective environmental replay","An empirical characterisation, using five years of retrospective environmental traces, of when advisory-scope graduation produces governance outcomes distinct from participation-only governance","EMPIRICAL_TRACE","scripts/condition_comparison.py; data/journal1-manuscript-evidence-sync/quantitative-provenance.csv; 43,848 hourly records PRIMARY","NO_EQUIVALENT_IN_VALIDATED_SET","PASS","Governance-outcome divergence at the admissible-set level; one site, evaluated period, evaluated comparator definitions","improved safety; improved effectiveness; improved decision quality","FREEZE"
"C2","C2-02","intermediate-level contribution Delta_L2","intermediate-level contribution Delta_L2 = 5.81% PRIMARY and 4.48% RESOLUTION","EMPIRICAL_TRACE","quantitative-provenance.csv rows Delta_L2 PRIMARY and Delta_L2 RESOLUTION (E2); 48.69 minus 42.88","N/A","PASS","PRIMARY and RESOLUTION are alternative environmental-data configurations, not uncertainty bounds","5.81% safer; 5.81% risk reduction; 5.81% improvement; 5.81 +/- 4.48","FREEZE"
"C2","C2-03","zero-divergence control","C1<->C3 = 0.00% under both configurations, as a control against an intermediate-state comparator lacking advisory-scope differentiation","EMPIRICAL_TRACE","quantitative-provenance.csv row C1-C3 divergence (E6), both configurations","N/A","PASS","Bounded to the evaluated comparator definitions; placed inside C2, not Discussion","all traffic-light systems are equivalent; all three-state systems add no value; advisory-scope governance is universally superior","FREEZE"
"C2","C2-04","pairwise divergence context","C0<->C1 = 42.88% and C0<->C2 = 48.69% (PRIMARY) as supporting context","EMPIRICAL_TRACE","quantitative-provenance.csv rows C0-C1 and C0-C2 divergence PRIMARY (E1)","N/A","PASS","PRIMARY only; supporting context rather than a headline figure","presenting a deterministic census as statistical inference","FREEZE"
"C2","C2-05","RESOLUTION pairwise values","EXCLUDED FROM FROZEN WORDING","EMPIRICAL_TRACE","canonical in journal-1 manuscript and prediction register P23/P24, but no row in quantitative-provenance.csv","N/A","PROVENANCE_INCOMPLETE","Not usable as contribution-supporting numbers until an explicit provenance row exists","citing 41.08% or 45.56% in support of a frozen contribution","DEFER_TO_PROVENANCE_REPAIR"
"C2","C2-06","(absent from candidate wording)","All severity figures are lower bounds: the replay declares D = {m} and kappa = 0 throughout the record","LIMITATION","appendix-c C.2.0.5 (D3); C.2.0.4a","N/A","PASS","Must travel with every severity figure reported under C2","presenting severity figures as complete or as point estimates","FREEZE"
"SEC","SEC-01","hysteresis 10.36% reduction of non-scheduled transitions","EXCLUDED FROM CONTRIBUTION STORY; available for Results/Discussion if space permits","EMPIRICAL_TRACE","scripts/hysteresis_analysis.py; 3,661 transitions, 222 non-scheduled, 26 genuine oscillations, PRIMARY only","N/A","SECONDARY","Report only as a precautionary stabilisation mechanism, not because a mode-chattering requirement had been established; E4 is PRIMARY-only","hysteresis was required; a mode-chattering problem was observed; hysteresis supports novelty or effectiveness","OMIT_FROM_CONTRIBUTIONS"
"ARCH","ARCH-01","unconditional human final decision authority","Architectural property: human decision authority is unconditional in all three states","FORMAL","appendix-c C.8.2 step 6; algorithm-specification.md sec.9; architecture-illustration.md sec.3","REAL_BUT_THIN_RELATIVE_TO_TCAS","NOT_LOAD_BEARING","Place in architecture description, comparison table and discussion; not in C1 wording","first architecture to preserve human authority; human authority invariance as a headline novelty","FREEZE_AS_PROPERTY"
"LIT","LIT-01","review-based novelty contribution (v3 contribution 1)","WITHDRAWN as a headline contribution; retained as literature foundation, positioning evidence and historical basis for the research gap","LITERATURE","publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md L103; falsified in unscoped form by the novelty audit","FALSIFIED_IN_UNSCOPED_FORM","WITHDRAWN","All gap statements must be scoped to the reviewed literature","no architecture identified restricts AI advisory scope; no existing architecture","WITHDRAW"
"LIT","LIT-02","structured review sample size","The structured review comprises 72 manuscript-facing papers; the six validated novelty sources are targeted post-review additions","LITERATURE","docs/canonical/review-protocol.md sec.Corpus reconciliation; data/amict-conference-rebuild/source-validation-report.md","N/A","PASS","Describe the two populations separately; no systematic-review rerun is required because the methodology has not changed","merging the six sources into the 72 count; reporting 78","FREEZE"
"LIT","LIT-03","(absent from candidate wording)","Within the validated comparison set, no prior work identified combines these operational semantics with advisory-type scope governed by a classified multi-component environmental state","LITERATURE","data/amict-conference-rebuild/novelty-defence-matrix.md; novelty-audit-addendum-001.md; source-validation-report.md","SCOPED_LITERATURE_CLAIM","PASS","Must remain literature-scoped; never stated as an absolute claim","unprecedented; no existing work; globally novel","FREEZE"
"EXCL","EXCL-01","performance and human-outcome claims","EXCLUDED ENTIRELY","LIMITATION","evaluation-specification.md sec.11 (E5 OPEN, H3 OPEN_UNSUPPORTED, Android benchmark DEFERRED_MANDATORY); no human study","N/A","EXCLUDED","Target-hardware performance may be mentioned only as future work or limitation","smartphone feasibility; low-resource deployment validated; real-time performance; trust; calibrated reliance; decision quality; accident reduction; livelihood benefit","EXCLUDE"
