reference_number,authors,title,year,venue,volume,issue,pages_or_article_number,publisher,doi,url_or_identifier,metadata_status,provenance_source
11,"D. Corsi, G. Amir, A. Rodríguez, C. Sánchez, G. Katz, and R. Fox",Verification-guided shielding for deep reinforcement learning,2024,Proc. 1st Reinforcement Learning Conf. (RLC),,,,,10.48550/arXiv.2406.06507,,COMPLETE,manuscript References section
12,"M. Kwon, T. Ingebrand, U. Topcu, and L. Feng",Adaptive shielding for safe reinforcement learning under hidden-parameter dynamics shifts,2026,arXiv preprint,,,,,,arXiv:2506.11033v2,COMPLETE,manuscript References section
13,J. Vermaelen and T. Holvoet,Tumato 2.0: A constraint-based planning approach for safe and robust robot behavior,2025,Annals of Mathematics and Artificial Intelligence,93,,541–567,,10.1007/s10472-024-09949-3,,COMPLETE,manuscript References section
14,"H. Odriozola-Olalde, M. Zamalloa, and N. Arana-Arexolaleiba",Shielded reinforcement learning: A review of reactive methods for safe learning,2023,Proc. 2023 IEEE/SICE Int. Symp. System Integration (SII),,,,IEEE,10.1109/SII55687.2023.10039301,,REFERENCE_METADATA_INCOMPLETE,gap noted in entry: no page range in repository evidence
15,D. Dalrymple et al.,Towards guaranteed safe AI: A framework for ensuring robust and reliable AI systems,2024,arXiv preprint,,,,,,arXiv:2405.06624,COMPLETE,manuscript References section
16,A. Bajcsy and J. F. Fisac,Human–AI safety: A descendant of generative AI and control systems safety,2024,arXiv preprint,,,,,,arXiv:2405.09794,COMPLETE,manuscript References section
17,R. Bloomfield and J. Rushby,Assurance of AI Systems from a Dependability Perspective,2025,,,,,SRI International,10.48550/arXiv.2407.13948,,COMPLETE,manuscript References section
18,"H. Wang, C. M. Poskitt, and J. Sun",AgentSpec: Customizable runtime enforcement for safe and reliable LLM agents,2026,Proc. IEEE/ACM 48th Int. Conf. Software Engineering (ICSE '26),,,,IEEE,,,REFERENCE_METADATA_INCOMPLETE,gap noted in entry: no DOI or page range in repository evidence
19,"Z. Chen, M. Kang, and B. Li",SHIELDAGENT: Shielding agents via verifiable safety policy reasoning,2025,Proc. 42nd Int. Conf. Machine Learning (ICML),,,,PMLR,,arXiv:2503.22738v2,REFERENCE_METADATA_INCOMPLETE,gap noted in entry: no DOI or page range in repository evidence
20,"Md. Shamsujjoha, Q. Lu, D. Zhao, and L. Zhu",Swiss cheese model for AI safety: A taxonomy and reference architecture for multi-layered guardrails of foundation model based agents,2025,Proc. IEEE 22nd Int. Conf. Software Architecture (ICSA),,,37–48,IEEE,10.1109/ICSA65012.2025.00014,,COMPLETE,manuscript References section
21,"Z. Feng, J. McDonald, and C. Zhang",Levels of autonomy for AI agents,2025,arXiv preprint,,,,,,arXiv:2506.12469,COMPLETE,manuscript References section
22,National Institute of Standards and Technology,Artificial Intelligence Risk Management Framework (AI RMF 1.0),2023,,,,ificial,NIST,10.6028/NIST.AI.100-1,,COMPLETE,manuscript References section
23,"A. Reuel, P. Connolly, K. J. Meimandi, S. Tewari, J. Wiatrak, D. Venkatesh, and M. Kochenderfer",Responsible AI in the global context: Maturity model and survey,2025,"Proc. 2025 ACM Conf. Fairness, Accountability, and Transparency (FAccT '25)",,,2505–2541,ACM,10.1145/3715275.3732165,,COMPLETE,manuscript References section
24,Z. Engin and D. Hand,Towards adaptive categories: Dimensional governance for agentic AI,2025,arXiv preprint,,,,,,arXiv:2505.11579,COMPLETE,manuscript References section
25,"N. Kolt, M. Shur-Ofry, and R. Cohen",Lessons from complex systems science for AI governance,2025,Patterns,6,,101341,,10.1016/j.patter.2025.101341,,COMPLETE,manuscript References section
26,International Maritime Organization,"Convention on the International Regulations for Preventing Collisions at Sea, 1972 (COLREGs), as amended",1972,,,,,IMO,,,COMPLETE,manuscript References section
27,T. Gao,Mapping the Decision-Making Factors of Small-Scale Fishers: A Case Study of Penang,2024,,,,,,,https://hdl.handle.net/10568/152289,COMPLETE,manuscript References section
28,"O. Yaakob, F. E. Hashim, M. R. Jalal, and M. A. Mustapa","Stability, seakeeping and safety assessment of small fishing boats operating in southern coast of Peninsular Malaysia",2015,Journal of Sustainability Science and Management,10,1,50–65,,,,COMPLETE,manuscript References section
29,C.-H. Jeong and N. Im,Proposal of restrictions on the departure of Korea small fishing vessel according to wave height,2023,Journal of Marine Science and Engineering,11,7,1302,,10.3390/jmse11071302,,COMPLETE,manuscript References section
30,M. S. Haque and S. Al Jufaili,Applications of artificial intelligence in fisheries: From data to decisions,2026,Big Data and Cognitive Computing,10,1,ificial,,10.3390/bdcc10010019,,COMPLETE,manuscript References section
31,A. Longobardi et al.,"Peskas: Automated analytics for small-scale, data-deficient fisheries",2024,SoftwareX,29,,102028,,10.1016/j.softx.2024.102028,,COMPLETE,manuscript References section
32,A. Katende,Rethinking data-efficient artificial intelligence for low-resource settings,2025,Machine Learning with Applications,23,,100796,,10.1016/j.mlwa.2025.100796,,COMPLETE,manuscript References section
33,"P. Bhuvaneswari, K. D. V. Prasad, M. Ashraf, and S. Jadhav",A human-centered hybrid AI framework for optimizing emergency triage in resource-constrained settings,2025,Intelligence-Based Medicine,12,,100311,,10.1016/j.ibmed.2025.100311,,COMPLETE,manuscript References section
