path,line,classification,relevance,disposition,text
docs/canonical/cleanup-report-c0-solar-provenance-2026-09-08.md,222,historical,taxonomy/provenance reference,preserved historical wording,"| **`cause`** | ✅ **UNCHANGED** | `cause : Y → {fault, hazard}` intact |"
docs/canonical/cleanup-report-unsafe-semantics-2026-09-08.md,5,historical,taxonomy/provenance reference,preserved historical wording,**Scope:** Semantic and prose correction only. **Model B not adopted. Canonical `g_t` unchanged. `cause` unchanged. No theorem re-proved.**
docs/canonical/cleanup-report-unsafe-semantics-2026-09-08.md,63,historical,taxonomy/provenance reference,preserved historical wording,"### 2.5 `cause` — pointer added, definition untouched"
docs/canonical/cleanup-report-unsafe-semantics-2026-09-08.md,67,historical,taxonomy/provenance reference,preserved historical wording,"**Confirmed not done:** no `policy` value, no `scheduled` value, no rename of `hazard`, no signature change. Signature verified intact at line 295: `cause : Y → {fault, hazard}`."
docs/canonical/cleanup-report-unsafe-semantics-2026-09-08.md,226,historical,taxonomy/provenance reference,preserved historical wording,The `cause` taxonomy mismatch (audit §7). Recorded as an OPEN note under C.2.0.8; **not modified**.
docs/canonical/cleanup-report-unsafe-semantics-2026-09-08.md,239,historical,taxonomy/provenance reference,preserved historical wording,"| **`cause`** | ✅ **UNCHANGED** | `cause : Y → {fault, hazard}` intact, line 295. No value added, nothing renamed |"
docs/canonical/discussion-notes-governance-gap-precedents-and-formal-foundations.md,117,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"Dalrymple et al.'s argument against red-teaming is precise: it is a **negative result method**. No matter how many attacks fail, you have not proven the system is safe — you have only proven that those specific attacks failed. You cannot test every possible input. A sufficiently clever adversary, an unusual real-world situation, or gradual distributional shift (where real-world conditions slowly drift outside what was tested) can still cause failure after months of successful red-teaming."
docs/canonical/discussion-notes-governance-gap-precedents-and-formal-foundations.md,129,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"**World model**: The system's mathematical understanding of how the AI's actions affect the real world. If the AI recommends action X, what happens next? The world model is the component that connects AI output to real-world consequences. Without it, you cannot reason formally about whether an action is safe — you only know what the AI said, not what it will cause."
docs/canonical/empirical-findings-2026-09-06.md,86,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,| **Weather data comes from a LAND grid cell; marine data from a SEA cell** | See F-10. Likely the principal cause of F-1 |
docs/canonical/empirical-findings-2026-09-06.md,394,active canonical,taxonomy/provenance reference,reviewed; no scalar contract,**Root cause: four distinct conditions collapsed into one symbol.**
docs/canonical/finding-cause-taxonomy-audit-2026-09-08.md,1,historical,taxonomy/provenance reference,preserved historical wording,# Post-migration `cause` taxonomy audit
docs/canonical/finding-cause-taxonomy-audit-2026-09-08.md,10,historical,taxonomy/provenance reference,preserved historical wording,"The two-value `cause` taxonomy is semantically inadequate. Add an explicit `policy` trigger, but do not merely insert it into the existing scalar fallback. Define SAFE behaviour and concurrent triggers as well. Recommended representation: a set of active restriction reasons, with component-level detail. This is an annotation of the existing classification, not an input to governance."
docs/canonical/finding-cause-taxonomy-audit-2026-09-08.md,12,historical,taxonomy/provenance reference,preserved historical wording,"The canonical definition remains `cause : Y → {fault, hazard}` until a separate cleanup applies the proposal consistently. The OPEN issue is diagnosed, not closed by this audit."
docs/canonical/finding-cause-taxonomy-audit-2026-09-08.md,21,historical,ordinary causal language; no provenance contract,preserved historical wording,"| [Project instructions](../../CLAUDE.md), formal type table | Repeats `Y → {fault, hazard}`. |"
docs/canonical/finding-cause-taxonomy-audit-2026-09-08.md,22,historical,ordinary causal language; no provenance contract,preserved historical wording,"| Appendix C, C.7.2, A3 and proof | Reason-independence is explicit, although examples still enumerate only hazard/fault. |"
docs/canonical/finding-cause-taxonomy-audit-2026-09-08.md,24,historical,taxonomy/provenance reference,preserved historical wording,"| `scripts/` search for the whole word `cause` | No matches. No implemented `cause` function or consumer found in this directory. This is a specification defect, not an observed production logging defect. |"
docs/canonical/finding-cause-taxonomy-audit-2026-09-08.md,27,historical,taxonomy/provenance reference,preserved historical wording,"Searches used `rg -n '\bcause\b' scripts` and `rg -n 'cause :|cause\(|\{fault, hazard\}' docs publications CLAUDE.md`. Historical audit and closure reports are provenance, not active definitions to overwrite."
docs/canonical/finding-cause-taxonomy-audit-2026-09-08.md,35,historical,ordinary causal language; no provenance contract,preserved historical wording,**CT-3 — concurrent reasons are lost.** Fault-first selection suppresses valid weather evidence and night policy when they coexist. A scalar `fault / hazard / policy` needs an arbitrary priority and remains incomplete as an audit record. Night plus wave UNSAFE should preserve both triggers; fault plus night should preserve both if the time inputs remain valid.
docs/canonical/finding-cause-taxonomy-audit-2026-09-08.md,58,historical,taxonomy/provenance reference,preserved historical wording,"If the existing name `cause` must be retained, its proposed replacement would be set-valued over the evaluated trace. The exact public name can be settled during cleanup; this audit does not silently introduce a second canonical function."
docs/canonical/finding-cause-taxonomy-audit-2026-09-08.md,88,historical,taxonomy/provenance reference,preserved historical wording,"An abstract exhaustive check covered **12,288 cases**: 16 environmental exclusion sets × 4⁴ environmental statuses (fault/SAFE/CAUTION/UNSAFE) × 3 time statuses (fault/SAFE/UNSAFE). Exclusions were applied first; vessel effects are abstracted into component severity. Every case preserved state projection and the governance pair, had an empty reason set iff SAFE, and satisfied fault ⇒ UNSAFE. All eight subsets of the three proposed labels were exercised. Results: [audit checks](cause-taxonomy-audit-checks-2026-09-08.json)."
docs/canonical/finding-cause-taxonomy-audit-2026-09-08.md,98,historical,taxonomy/provenance reference,preserved historical wording,Metrics must distinguish overlapping active reasons from mutually exclusive counts. Do not retrofit the current weather-driven UNSAFE metric as a `cause` partition or sum overlapping shares to 100%. Do not change registered prediction scopes or values for a provenance-only correction.
docs/canonical/finding-gt-evidence-closure.md,179,historical,taxonomy/provenance reference,preserved historical wording,"## Part 5 — `cause` semantics: **a genuine mismatch, reported separately**"
docs/canonical/finding-gt-evidence-closure.md,181,historical,taxonomy/provenance reference,preserved historical wording,"**Current:** `cause : Y → {fault, hazard}` (C.2.0.8), where `fault` means some `yᵢ = ⊥` and `hazard` means everything else."
docs/canonical/finding-gt-evidence-closure.md,196,historical,taxonomy/provenance reference,preserved historical wording,- `cause` is **provenance only** — C.2.0.8 states it has no effect on `G(S)` or `A_AI(S)`. No formal property depends on it.
docs/canonical/finding-gt-evidence-closure.md,198,historical,taxonomy/provenance reference,preserved historical wording,"- **A third `cause` value (e.g. `scheduled`) is not introduced here.** Per instruction it is reported, not adopted. It would be a small, self-contained change, and the case for it is that an operator log reading *""UNSAFE — hazard""* every night at sunset is misleading in the same way `⊥`-driven UNSAFE would be."
docs/canonical/finding-gt-evidence-closure.md,336,historical,taxonomy/provenance reference,preserved historical wording,- `cause` semantics mismatch surfaces (Part 5) — separate decision.
docs/canonical/finding-gt-evidence-closure.md,382,historical,ordinary causal language; no provenance contract,preserved historical wording,"| **C-7** | **Reconcile baseline discrepancies before any comparison** | ✅ **CLOSED 2026-09-08** — single cause identified: all four ""stale"" values are the **pre-amendment threshold vintage** (v1, `r` 7.5, `o` 1.9) and reproduce exactly under it; the register holds the current-threshold values and also reproduces exactly. **P09 is the sole register exception** — its 5,416 is the pre-amendment figure, retained as historical; comparable current-threshold baseline **5,220**. Register **not mutated**; provenance in `data/c7/baseline-provenance.csv`. `report-c7-closure-2026-09-08.md` |"
docs/canonical/finding-gt-evidence-closure.md,407,historical,ordinary causal language; no provenance contract,preserved historical wording,"> The ""Current"" values in this table were quoted from the **pre-amendment threshold vintage** (v1 data, `r_CAUTION = 7.5 mm/hr`, small-vessel `o_UNSAFE = 1.9 m`) — not from the prediction register. **One cause explains every one of them**, and all five reproduce exactly under that vintage. The register holds the **current-threshold** values."
docs/canonical/finding-gt-sensitivity-analysis.md,58,historical,ordinary causal language; no provenance contract,preserved historical wording,"| **9. SAFE→UNSAFE (any cause)** | **2** | **1,536** | 1,360 |"
docs/canonical/finding-met-lower-boundary-gap.md,132,historical,ordinary causal language; no provenance contract,preserved historical wording,"| [Public Infobanjir — Rainfall Data](https://publicinfobanjir.water.gov.my/hujan/data-hujan/?lang=en) | Department of Irrigation and Drainage Malaysia (JPS/DID) | *Categorization of Rainfall Intensity (in one hour)*: Light 1–10, Moderate 11–30, Heavy 31–60, Very Heavy > 60 mm. Also: convective rain > 60 mm in 2–4 hours may cause flash floods |"
docs/canonical/finding-sdr-001-readiness-audit.md,36,historical,ordinary causal language; no provenance contract,preserved historical wording,"| **SAFE→UNSAFE (any cause)** | **2** | **1,536** | **+1,534** |"
docs/canonical/finding-sdr-001-readiness-audit.md,512,historical,taxonomy/provenance reference,preserved historical wording,"- **`cause` taxonomy mismatch** — provenance-only; separate workstream, per the OPEN note now in Appendix C C.2.0.8."
docs/canonical/finding-unsafe-semantics-audit.md,1,historical,taxonomy/provenance reference,preserved historical wording,# Finding: `UNSAFE` Semantics and `cause` Provenance — Read-Only Consistency Audit
docs/canonical/finding-unsafe-semantics-audit.md,47,historical,ordinary causal language; no provenance contract,preserved historical wording,"This is a **conjunction of a world claim and a governance claim**. It is the single most authoritative sentence about what `UNSAFE` means, and it asserts both. **[INTERPRETATION]** The world-claim half is deliberately weakened relative to U1 — ""outside the demonstrated operating envelope"" is an epistemic statement about the limits of the evidence, not a claim that operation is unsafe. But it is still a claim about the world, and it is stated as *co-constitutive* of `UNSAFE` rather than as a typical cause of it."
docs/canonical/finding-unsafe-semantics-audit.md,218,historical,taxonomy/provenance reference,preserved historical wording,## 6. Current `cause` taxonomy
docs/canonical/finding-unsafe-semantics-audit.md,222,historical,taxonomy/provenance reference,preserved historical wording,"> **`cause : Y → {fault, hazard}`**, with **`cause(y) = fault`** if `yᵢ = ⊥` for any `i ∉ D`, and **`hazard`** otherwise"
docs/canonical/finding-unsafe-semantics-audit.md,226,historical,taxonomy/provenance reference,preserved historical wording,"**Complete inventory of `cause` in the project** (searched `cause :`, `cause(`, `cause(y)`, `cause(E)`, `{fault, hazard}`):"
docs/canonical/finding-unsafe-semantics-audit.md,236,historical,taxonomy/provenance reference,preserved historical wording,**`cause` appears in no script.** It is specified and unimplemented. **[PROVES]** — grep across `scripts/` returns zero hits.
docs/canonical/finding-unsafe-semantics-audit.md,247,historical,taxonomy/provenance reference,preserved historical wording,**`cause(y) = hazard`** — no `yᵢ = ⊥` for `i ∉ D`.
docs/canonical/finding-unsafe-semantics-audit.md,253,historical,taxonomy/provenance reference,preserved historical wording,**`cause(y) = fault`** — `o ∉ D` and `y_o = ⊥`.
docs/canonical/finding-unsafe-semantics-audit.md,254,historical,taxonomy/provenance reference,preserved historical wording,"**Verdict: ✅ Compatible.** This case is *why* `cause` exists — C.2.0.8 line 258 states the motivating scenario: an operator told *""conditions are unsafe""* when the truth is *""the wave feed is down""* has been misinformed."
docs/canonical/finding-unsafe-semantics-audit.md,282,historical,ordinary causal language; no provenance contract,preserved historical wording,"Under the incumbent `g_t`, 19:00 already produces `cause = hazard` on a calm night — the same category error, 1,536 times a year. **Model B does not introduce the defect. It removes the last cover for it**, because under Model B the boundary is *explicitly* an astronomical event rather than a clock number that could be loosely narrated as ""when it gets dark and rough"". **This is a pre-existing defect that Model B makes undeniable.**"
docs/canonical/finding-unsafe-semantics-audit.md,286,historical,taxonomy/provenance reference,preserved historical wording,## 8. Does `cause` affect governance?
docs/canonical/finding-unsafe-semantics-audit.md,292,historical,taxonomy/provenance reference,preserved historical wording,"| Stated directly | C.2.0.8 line 264: ""**`cause` has no effect on `G(S)` or `A_AI(S)`** — it is provenance, not governance, and **the formal properties are untouched by it**"" |"
docs/canonical/finding-unsafe-semantics-audit.md,294,historical,taxonomy/provenance reference,preserved historical wording,"| **`G(S)` signature** | C.3, line 548: `G` takes `S` alone. `cause` is not an argument |"
docs/canonical/finding-unsafe-semantics-audit.md,296,historical,taxonomy/provenance reference,preserved historical wording,"| **Theorem C.3 proof** | Line 734: ""The proof depends only on the value of `S`, never on how `S` was reached… **`cause` is provenance and does not enter the case analysis**"" |"
docs/canonical/finding-unsafe-semantics-audit.md,297,historical,taxonomy/provenance reference,preserved historical wording,| **Implementation** | `cause` appears in zero scripts |
docs/canonical/finding-unsafe-semantics-audit.md,304,historical,taxonomy/provenance reference,preserved historical wording,"| **Formal theorem validity** | ❌ **No.** C.1, C.1b, C.1b.1, C.2, C.3 are all independent of `cause`. C.3's proof says so explicitly |"
docs/canonical/finding-unsafe-semantics-audit.md,305,historical,taxonomy/provenance reference,preserved historical wording,| **Empirical figures** | ❌ **No.** `cause` is unimplemented; 7.72% / 5.98% do not depend on it |
docs/canonical/finding-unsafe-semantics-audit.md,314,historical,taxonomy/provenance reference,preserved historical wording,## 9. Compatibility of `cause` with Model B
docs/canonical/finding-unsafe-semantics-audit.md,316,historical,taxonomy/provenance reference,preserved historical wording,"`cause` requires no change for Model B to function. It would, however, be **wrong more often and more visibly**: from an evening-transition frequency of roughly 365/yr under the incumbent to the same frequency under Model B but with an explicitly astronomical trigger, and with the SAFE→UNSAFE step count rising 2 → 1,536 (`finding-gt-sensitivity-analysis.md`), every one of them logged as `hazard`."
docs/canonical/finding-unsafe-semantics-audit.md,383,historical,taxonomy/provenance reference,preserved historical wording,"**Not Outcome D.** No material conflict exists. The gate closes correctly, every theorem holds unchanged, human override is preserved, and §4.3 shows the architecture already contains policy-defined `UNSAFE` boundaries labelled as such. The `cause` mismatch (§7) is real but confined to provenance (§8) and is pre-existing (§7.1)."
docs/canonical/finding-unsafe-semantics-audit.md,396,historical,taxonomy/provenance reference,preserved historical wording,"2. **The `cause` mismatch (§7) is genuine, not cosmetic within its scope**, and Model B increases its visibility. It is bounded to provenance, but the thesis's contribution claim is partly communicative (§8.1)."
docs/canonical/finding-unsafe-semantics-audit.md,404,historical,taxonomy/provenance reference,preserved historical wording,"**Scoped to `UNSAFE` semantics and `cause`.** For thresholds, scripts, figures, predictions and the full document list, see `finding-gt-evidence-closure.md` Part 8 — this section does **not** duplicate it."
docs/canonical/finding-unsafe-semantics-audit.md,410,historical,ordinary causal language; no provenance contract,preserved historical wording,"| **1** | `appendix-c` **Definition C.1, line 95** (L4) | Separate the governance claim from the world claim. `UNSAFE` = the state in which AI advisory participation is not admissible. Envelope exceedance is a *typical cause*, not the definition. **This is the single required formal-document edit** |"
docs/canonical/finding-unsafe-semantics-audit.md,435,historical,taxonomy/provenance reference,preserved historical wording,"| **A new `cause` value** | Not required for Model B to function (§9). The mismatch is pre-existing (§7.1) and should be sequenced **separately, after** the `g_t` decision — bundling would make one decision carry two rationales |"
docs/canonical/finding-unsafe-semantics-audit.md,456,historical,taxonomy/provenance reference,preserved historical wording,| `cause` | ✅ **UNCHANGED** | No `policy`/`scheduled` value introduced |
docs/canonical/paper-review-synopsis.md,68,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"| Kolt et al. (2025) [complex systems AI governance, external evidence] [[notes]](../../notes/Lessons%20from%20complex%20systems%20science%20for%20AI%20governance.md) | Positioning paragraph: Kolt, Shur-Ofry, and Cohen (2025) argue from complex systems science that AI governance premised on linear cause-and-effect is structurally inadequate: because AI systems exhibit nonlinear growth, emergence, and cascading effects, governance must intervene early and at calibrated risk thresholds, acting on incomplete information — since by the time full evidence of danger is... |"
docs/canonical/report-c1-c2-c3-solar-reproducibility-2026-09-08.md,276,historical,ordinary causal language; no provenance contract,preserved historical wording,"**Diagnosed cause — verified, not speculated.** USNO reports to **whole minutes**. Sub-minute coordinate differences therefore flip a reference value by a full minute at rounding boundaries. Re-querying USNO at 116.07 confirmed this directly: of 8 events checked across two dates, **2 differed by one minute** from the 116.01 response (2024-03-20 sunset 18:26 vs 18:27; 2024-11-11 civil dusk 18:17 vs 18:18)."
docs/canonical/report-c1-c2-c3-solar-reproducibility-2026-09-08.md,381,historical,taxonomy/provenance reference,preserved historical wording,"| **`cause`** | ✅ **UNCHANGED** | `cause : Y → {fault, hazard}` |"
docs/canonical/report-c2-closure-2026-09-08.md,335,historical,taxonomy/provenance reference,preserved historical wording,"All three rows verbatim in Appendix C. **Solar terms in `appendix-c-formalisation.md`: 0.** Wind `21.6/27.0`, rainfall `10.0/20.0`, wave thresholds, `G(S)`, `A_AI(S)`, `cause` — all unchanged. Canonical scripts unchanged by hash (`5af9eaf7…`, `1f0f4e9c…`, `73015d88…`)."
docs/canonical/report-c4-closure-2026-09-08.md,302,historical,taxonomy/provenance reference,preserved historical wording,"**Also unchanged:** `solar.py` `3b7dc371…` · solar artefacts `da14a8dc…` / `057c46a1…` · wind `21.6/27.0` · rainfall `10.0/20.0` · wave `{small:(1.0,1.25), medium:(1.4,2.8), big:(1.5,3.5)}` · `cause : Y → {fault, hazard}` · `G(S)` · `A_AI(S)` · canonical figures 7.72% / 5.98%."
docs/canonical/report-c5-closure-2026-09-08.md,278,historical,taxonomy/provenance reference,preserved historical wording,**Also unchanged:** wind 21.6/27.0 · rainfall 10.0/20.0 · wave 1.0/1.25 · `cause` · `G(S)` · `A_AI(S)` · **canonical figures 7.72% (×8) and 5.98% (×5)** · empirical findings §0a.
docs/canonical/report-c6-closure-2026-09-08.md,61,historical,ordinary causal language; no provenance contract,preserved historical wording,| Stage | Value | Cause |
docs/canonical/report-c6-closure-2026-09-08.md,84,historical,ordinary causal language; no provenance contract,preserved historical wording,**P09's band was exited by the threshold amendments alone.** Model B moves it further out; it did not cause the exit.
docs/canonical/report-c6-closure-2026-09-08.md,307,historical,taxonomy/provenance reference,preserved historical wording,Also unchanged: wind 21.6/27.0 · rainfall 10.0/20.0 · wave 1.0/1.25 · `cause` · `G(S)` · `A_AI(S)`.
docs/canonical/report-c7-closure-2026-09-08.md,49,historical,ordinary causal language; no provenance contract,preserved historical wording,"**Cause of the discrepancy: threshold vintage.** Not dataset vintage alone, not cell change, not tie-count semantics, not an implementation difference. The at-max/exclusive distinction was checked and is **not** the cause — both metrics were computed and the exclusive share (81.95%) matches neither circulating value."
docs/canonical/report-c7-closure-2026-09-08.md,77,historical,ordinary causal language; no provenance contract,preserved historical wording,| Transition | Effect | Cause |
docs/canonical/report-c7-closure-2026-09-08.md,97,historical,ordinary causal language; no provenance contract,preserved historical wording,"**This supersedes the −215 data-effect interpretation, not the historical 5,416 value.** The earlier analysis was right that P09's shortfall predates any `g_t` change; it was wrong about the size and the cause. The data effect was overstated **elevenfold** because it absorbed the threshold amendments."
docs/canonical/report-c7-closure-2026-09-08.md,347,historical,taxonomy/provenance reference,preserved historical wording,**Also unchanged:** wind 21.6/27.0 · rainfall 10.0/20.0 · wave 1.0/1.25 · `cause` · `G(S)` · `A_AI(S)` · C-3 and C-5 artefacts.
docs/canonical/report-c8-migration-2026-09-08.md,357,historical,taxonomy/provenance reference,preserved historical wording,"| **`cause`** | ✅ **Unchanged** — the night→`hazard` mismatch remains a separate future issue, deliberately not touched |"
docs/canonical/report-c8-migration-2026-09-08.md,414,historical,taxonomy/provenance reference,preserved historical wording,"| **`cause` night→`hazard` mismatch** | **OPEN, deliberately.** A `g_t`-driven UNSAFE at night is labelled `hazard` when nothing hazardous was detected. Provenance-only, no theorem affected, pre-existing. Separate workstream |"
docs/canonical/session-log-2026-09-08.md,35,historical,ordinary causal language; no provenance contract,preserved historical wording,| 10 | **C-7 — baseline reconciliation** | One cause found for every stale value |
docs/canonical/session-log-2026-09-08.md,83,historical,ordinary causal language; no provenance contract,preserved historical wording,"It **does not reproduce the record** — max 0.92 against 0.90 — and the cause was demonstrated, not assumed: USNO reports whole minutes, so a 14-second coordinate difference flips reference values at rounding boundaries."
docs/canonical/session-log-2026-09-08.md,89,historical,ordinary causal language; no provenance contract,preserved historical wording,"### 3.6 Every ""stale baseline"" had one cause — **C-7**"
docs/canonical/session-log-2026-09-08.md,205,historical,taxonomy/provenance reference,preserved historical wording,| `appendix-c-formalisation.md` | Definition C.1 redefined by governance consequence; C.9.4 rescoped; **C.2 non-surjectivity statement**; **new C.9.5** accepted transition cost; **new C.9.6** notification separation; `g_t` basis column and C.1 daylight wording corrected; `cause` OPEN note |
docs/canonical/session-log-2026-09-08.md,251,historical,taxonomy/provenance reference,preserved historical wording,"- **`cause` taxonomy mismatch** — a `g_t`-driven UNSAFE at 19:00 on a calm night is assigned `hazard`. Provenance-only, no theorem affected, **pre-existing under the incumbent**. OPEN note in Appendix C C.2.0.8."
docs/justification/architecture-differentiation.md,175,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"**Causal flow alignment**: The layering mirrors the causal structure of the problem. Environmental conditions (Layer 1) cause real-world danger — they are causally upstream of all other signals. Safety state classification (Layer 2) translates environmental conditions into governance mode. AI recommendations (Layer 3) are generated within the scope permitted by governance. The causal flow is unidirectional: Environment → Governance → AI. There is no feedback from Layer 3 to Layer 2 — AI does not influence its own governance. Dalrymple et al. (2024) [[notes]](../../notes/Towards%20Guaranteed%20Safe%20AI-%20A%20Framework%20for%20Ensuring%20Robust%20and%20Reliable%20AI%20Systems.md) specify this independence requirement in their GS AI framework: the world model and safety specification must be independent of the AI policy, so that the verifier's guarantee is not circular. Bajcsy & Fisac (2024) [[notes]](../../notes/Human%E2%80%93AI%20Safety-%20A%20Descendant%20of%20Generative%20AI%20and%20Control%20Systems%20Safety.md) prove their safety filter guarantee (Theorem 1) under the analogous requirement that the safety monitor be computed independently of the task policy. The layered architecture satisfies both requirements structurally."
docs/justification/environmental-state-governance.md,27,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"2. **Not causally upstream**: Environmental conditions *cause* unsafe outcomes. AI confidence is downstream of environmental conditions — it reflects how well the model's training distribution matches the current input, not whether the environment is actually safe. The causal structure is:"
docs/justification/environmental-state-governance.md,67,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"3. **Uncertainty estimates are themselves uncertain**: The reliability of uncertainty estimates depends on the quality of the underlying model and the coverage of the calibration dataset. In data-scarce fisheries environments, calibration is impossible. Newcomb & Ochoa (2026) [[notes]](../../notes/Formal%20methods%20for%20safety-critical%20machine%20learning%3A%20a%20systematic%20literature%20review.md) and Bloomfield & Rushby (2025) [[notes]](../../notes/Assurance%20of%20AI%20Systems%20From%20a%20Dependability%20Perspective.md) both identify this as a fundamental limitation of uncertainty-based AI assurance approaches — uncertainty is a symptom-level signal, not a root-cause indicator."
docs/justification/environmental-state-governance.md,81,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"1. **Wrong causality direction**: Human workload is a *consequence* of environmental conditions, not a cause of risk. Governing AI based on human workload treats the symptom (overloaded human) not the source (dangerous environment). Reducing AI scope when the human is overloaded is the opposite of what is needed — that is when AI assistance is most valuable. Wen et al. (2025) document through analysis of 60 real-world accident reports that human intervention was ineffective in 83.3% of process control system accidents and 66.7% of autonomous vehicle accidents — confirming that workload-based governance, which relies on human capacity to assess and signal overload, is unreliable as a safety mechanism."
docs/justification/environmental-state-governance.md,133,active canonical,ordinary causal language; no provenance contract,reviewed; no scalar contract,"4. **No advisory scope governance**: The critical finding from the Flehmig analysis is that the traffic-light framework governs **supervisory monitoring intensity**, not **AI advisory scope**. Flehmig et al. (2024) [[notes]](../../notes/Implementing%20Artificial%20Intelligence%20in%20Safety-Critical%20Systems%20during%20Operation-%20Challenges%20and%20Extended%20Framework%20for%20a%20Quality%20Assurance%20Process.md) state explicitly: at Level 2 (orange), ""AI stays as safety function"" and ""supervisory component must conduct thorough checks, investigate root cause"" — but the AI continues to recommend with the same scope as at Level 1. The CAUTION mode in the proposed architecture does something qualitatively different: it restricts what the AI is allowed to recommend, not merely how closely it is monitored. This distinction — which Flehmig et al. (2024) [[notes]](../../notes/Implementing%20Artificial%20Intelligence%20in%20Safety-Critical%20Systems%20during%20Operation-%20Challenges%20and%20Extended%20Framework%20for%20a%20Quality%20Assurance%20Process.md) identify as a gap they acknowledge — is the architectural contribution."
