new_key,conference_key,reference_text,metadata_source,source_type,metadata_complete,missing_fields,new_to_journal1
11,,"D. Corsi, G. Amir, A. Rodríguez, C. Sánchez, G. Katz, and R. Fox, ""Verification-guided shielding for deep reinforcement learning,"" in *Proc. 1st Reinforcement Learning Conf. (RLC)*, 2024. doi: 10.48550/arXiv.2406.06507",notes/Verification-Guided Shielding for Deep Reinforcement Learning.md,corpus notes file,YES,,yes
12,,"M. Kwon, T. Ingebrand, U. Topcu, and L. Feng, ""Adaptive shielding for safe reinforcement learning under hidden-parameter dynamics shifts,"" *arXiv preprint* arXiv:2506.11033v2, 2026.",notes/Runtime Safety through Adaptive Shielding- From Hidden Parameter Inference to Provable Guarantees.md,corpus notes file,YES,,yes
13,14,"J. Vermaelen and T. Holvoet, ""Tumato 2.0: A constraint-based planning approach for safe and robust robot behavior,"" *Annals of Mathematics and Artificial Intelligence*, vol. 93, pp. 541–567, 2025. doi: 10.1007/s10472-024-09949-3",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
14,,"H. Odriozola-Olalde, M. Zamalloa, and N. Arana-Arexolaleiba, ""Shielded reinforcement learning: A review of reactive methods for safe learning,"" in *Proc. 2023 IEEE/SICE Int. Symp. System Integration (SII)*, 2023. doi: 10.1109/SII55687.2023.10039301 [REFERENCE_METADATA_INCOMPLETE — no page range in repository evidence]",notes/Shielded Reinforcement Learning- A review of reactive methods for safe learning.md,corpus notes file,REFERENCE_METADATA_INCOMPLETE,page range,yes
15,9,"D. Dalrymple et al., ""Towards guaranteed safe AI: A framework for ensuring robust and reliable AI systems,"" *arXiv preprint* arXiv:2405.06624, 2024.",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
16,10,"A. Bajcsy and J. F. Fisac, ""Human–AI safety: A descendant of generative AI and control systems safety,"" *arXiv preprint* arXiv:2405.09794, 2024.",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
17,20,"R. Bloomfield and J. Rushby, *Assurance of AI Systems from a Dependability Perspective*, SRI Technical Report SRI-CSL-2024-02R3, SRI International, 2025. doi: 10.48550/arXiv.2407.13948",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
18,,"H. Wang, C. M. Poskitt, and J. Sun, ""AgentSpec: Customizable runtime enforcement for safe and reliable LLM agents,"" in *Proc. IEEE/ACM 48th Int. Conf. Software Engineering (ICSE '26)*, Rio de Janeiro, Brazil, Apr. 2026. [REFERENCE_METADATA_INCOMPLETE — no DOI or page range in repository evidence]",notes/AgentSpec- Customizable Runtime Enforcement for Safe and Reliable LLM Agents.md,corpus notes file,REFERENCE_METADATA_INCOMPLETE,DOI; page range,yes
19,,"Z. Chen, M. Kang, and B. Li, ""SHIELDAGENT: Shielding agents via verifiable safety policy reasoning,"" in *Proc. 42nd Int. Conf. Machine Learning (ICML)*, Vancouver, Canada, PMLR 267, 2025. arXiv:2503.22738v2 [REFERENCE_METADATA_INCOMPLETE — no DOI or page range in repository evidence]",notes/SHIELDAGENT- Shielding Agents via Verifiable Safety Policy Reasoning.md,corpus notes file,REFERENCE_METADATA_INCOMPLETE,DOI; page range,yes
20,6,"Md. Shamsujjoha, Q. Lu, D. Zhao, and L. Zhu, ""Swiss cheese model for AI safety: A taxonomy and reference architecture for multi-layered guardrails of foundation model based agents,"" in *Proc. IEEE 22nd Int. Conf. Software Architecture (ICSA)*, 2025, pp. 37–48. doi: 10.1109/ICSA65012.2025.00014",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
21,12,"Z. Feng, J. McDonald, and C. Zhang, ""Levels of autonomy for AI agents,"" *arXiv preprint* arXiv:2506.12469, 2025.",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
22,35,"National Institute of Standards and Technology, *Artificial Intelligence Risk Management Framework (AI RMF 1.0)*, NIST AI 100-1, Gaithersburg, MD: NIST, Jan. 2023. doi: 10.6028/NIST.AI.100-1",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
23,28,"A. Reuel, P. Connolly, K. J. Meimandi, S. Tewari, J. Wiatrak, D. Venkatesh, and M. Kochenderfer, ""Responsible AI in the global context: Maturity model and survey,"" in *Proc. 2025 ACM Conf. Fairness, Accountability, and Transparency (FAccT '25)*, Athens, Greece, 2025, pp. 2505–2541. doi: 10.1145/3715275.3732165",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
24,29,"Z. Engin and D. Hand, ""Towards adaptive categories: Dimensional governance for agentic AI,"" *arXiv preprint* arXiv:2505.11579, 2025.",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
25,32,"N. Kolt, M. Shur-Ofry, and R. Cohen, ""Lessons from complex systems science for AI governance,"" *Patterns*, vol. 6, p. 101341, 2025. doi: 10.1016/j.patter.2025.101341",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
26,38,"International Maritime Organization, *Convention on the International Regulations for Preventing Collisions at Sea, 1972 (COLREGs), as amended*, Rule 20(b). London: IMO.",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
27,33,"T. Gao, ""Mapping the Decision-Making Factors of Small-Scale Fishers: A Case Study of Penang,"" M.Sc. thesis, International Master of Science in Rural Development, University of Pisa / WorldFish (CGIAR), 2024. [Online]. Available: https://hdl.handle.net/10568/152289",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
28,39,"O. Yaakob, F. E. Hashim, M. R. Jalal, and M. A. Mustapa, ""Stability, seakeeping and safety assessment of small fishing boats operating in southern coast of Peninsular Malaysia,"" *Journal of Sustainability Science and Management*, vol. 10, no. 1, pp. 50–65, 2015.",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
29,40,"C.-H. Jeong and N. Im, ""Proposal of restrictions on the departure of Korea small fishing vessel according to wave height,"" *Journal of Marine Science and Engineering*, vol. 11, no. 7, p. 1302, 2023. doi: 10.3390/jmse11071302",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
30,15,"M. S. Haque and S. Al Jufaili, ""Applications of artificial intelligence in fisheries: From data to decisions,"" *Big Data and Cognitive Computing*, vol. 10, no. 1, art. 19, 2026. doi: 10.3390/bdcc10010019",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
31,18,"A. Longobardi et al., ""Peskas: Automated analytics for small-scale, data-deficient fisheries,"" *SoftwareX*, vol. 29, p. 102028, 2025. doi: 10.1016/j.softx.2024.102028",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
32,17,"A. Katende, ""Rethinking data-efficient artificial intelligence for low-resource settings,"" *Machine Learning with Applications*, vol. 23, p. 100796, 2026. doi: 10.1016/j.mlwa.2025.100796",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
33,19,"P. Bhuvaneswari, K. D. V. Prasad, M. Ashraf, and S. Jadhav, ""A human-centered hybrid AI framework for optimizing emergency triage in resource-constrained settings,"" *Intelligence-Based Medicine*, vol. 12, p. 100311, 2025. doi: 10.1016/j.ibmed.2025.100311",publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,conference manuscript (verified),YES,,no
