queue_id,file,section,original_line,value,category,metric_definition,canonical_source,original_status,action,current_text,evidence_note
18,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,24,0.552,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"             detection, TwiBot-22, F1 0.552, SHAP, BotRGCN; names the AMICT",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
19,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,26,3,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"  Review 3 — reject; ""lacks the technical and empirical evidence necessary to",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
20,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,31,1,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      New TABLE IIIb + rationale subsection; Theorem 1 product-domain proof;,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
21,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,32,1,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      Algorithm 1 five terms; complexity claim; Threats to Validity qualified.,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
22,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,33,4,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,  [x] Fig. 4 — all three panels now carry numeric values and per-component,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
23,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,37,27,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,  [x] Citation error found and fixed: Ghaleb et al. was cited as [27] in Domain,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
24,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,38,27,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      Instantiation; [27] is Cash et al. Corrected to [24]. NOT in revision-notes.,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
25,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,38,24,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      Instantiation; [27] is Cash et al. Corrected to [24]. NOT in revision-notes.,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
26,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,39,1.9,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,  [x] Threshold amendment applied: small-vessel UNSAFE 1.9 -> 1.25 m (Yaakob,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
27,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,39,1.25,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,  [x] Threshold amendment applied: small-vessel UNSAFE 1.9 -> 1.25 m (Yaakob,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
28,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,40,4,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      operational ceiling, not failure point). Fig. 4 corrected — the header",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
29,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,41,1.9,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      note still read 1.9 m and the mid-morning ocean value of 1.4 m would,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
30,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,41,1.4,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      note still read 1.9 m and the mid-morning ocean value of 1.4 m would,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
31,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,42,1.1,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      have classified UNSAFE, not CAUTION, under the amended row. Now 1.1 m.",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
32,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,43,6,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"  [x] Mode-chattering claim qualified, not dropped (F-6). Both occurrences.",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
33,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,45,2,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      Five results + TABLE VI (component binding shares). Headline: Level 2,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
34,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,46,5.81%,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      binds 5.81% of departure hours (5 yr) / 4.48% (3.25 yr, finer waves).",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
35,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,46,5,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      binds 5.81% of departure hours (5 yr) / 4.48% (3.25 yr, finer waves).",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
36,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,46,4.48%,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      binds 5.81% of departure hours (5 yr) / 4.48% (3.25 yr, finer waves).",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
37,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,46,3.25,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      binds 5.81% of departure hours (5 yr) / 4.48% (3.25 yr, finer waves).",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
38,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,47,1,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      Answers Review 1 (""add experimental validation"") and Review 3",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
39,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,47,3,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      Answers Review 1 (""add experimental validation"") and Review 3",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
40,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,50,100%,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      REMOVED — the previous text asserted ""100% Safety Dominance compliance",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
41,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,51,20,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      across all 20 test scenarios"" as a completed fidelity check. The",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
42,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,54,20,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      20 scenarios rewritten to match what was actually done.,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
43,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,57,6,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      Result 6 + TABLE VII in Empirical Characterisation. C3 diverges from C1,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
44,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,58,0.00%,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      in 0.00% of hours: the closest structural precedent is output-equivalent,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
45,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,59,1,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      to a plain binary gate — in BOTH configurations. Also isolates Level 1,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
46,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,60,42.88%,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      (42.88%) from Level 2 (5.81%). P21-P24 registered before the run and,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
47,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,60,2,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      (42.88%) from Level 2 (5.81%). P21-P24 registered before the run and,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
48,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,60,5.81%,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      (42.88%) from Level 2 (5.81%). P21-P24 registered before the run and,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
49,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,62,3,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      Answers Review 3's novelty objection with a measurement.,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
50,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,63,2026,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"  [x] DUAL-CONFIGURATION REPORTING adopted (""option C"", 2026-09-06). A",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
51,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,63,09,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"  [x] DUAL-CONFIGURATION REPORTING adopted (""option C"", 2026-09-06). A",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
52,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,63,06,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"  [x] DUAL-CONFIGURATION REPORTING adopted (""option C"", 2026-09-06). A",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
53,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,65,6.1%,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      6.1% came from MFWAM, which starts Oct 2021 — 3.25 years. Worse, F-4",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
54,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,65,2021,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      6.1% came from MFWAM, which starts Oct 2021 — 3.25 years. Worse, F-4",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
55,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,65,3.25,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      6.1% came from MFWAM, which starts Oct 2021 — 3.25 years. Worse, F-4",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
56,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,65,4,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      6.1% came from MFWAM, which starts Oct 2021 — 3.25 years. Worse, F-4",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
57,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,66,7,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      and F-7 (10.7%, 97.5%, 3.4%, 88.2%) reproduced ONLY under the v1",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
58,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,66,10.7%,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      and F-7 (10.7%, 97.5%, 3.4%, 88.2%) reproduced ONLY under the v1",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
59,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,66,97.5%,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      and F-7 (10.7%, 97.5%, 3.4%, 88.2%) reproduced ONLY under the v1",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
60,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,66,3.4%,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      and F-7 (10.7%, 97.5%, 3.4%, 88.2%) reproduced ONLY under the v1",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
61,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,66,88.2%,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      and F-7 (10.7%, 97.5%, 3.4%, 88.2%) reproduced ONLY under the v1",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
62,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,67,1.9,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      LAND-cell data AND the superseded 1.9 m threshold: propagating the,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
63,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,70,5.00,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      on sea-cell data, reported as PRIMARY (5.00 yr, ERA5-Ocean 50 km) and",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
64,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,70,50,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      on sea-cell data, reported as PRIMARY (5.00 yr, ERA5-Ocean 50 km) and",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
65,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,71,3.25,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      RESOLUTION (3.25 yr, MFWAM 8 km).",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
66,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,71,8,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      RESOLUTION (3.25 yr, MFWAM 8 km).",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
67,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,72,3,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"  [ ] Layer 3 rule engine unbuilt, so the comparison is at the ADMISSIBLE-SET",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
68,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,73,6,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,"      level, not AI(E) content. Disclosed in Result 6 and Threats to Validity.",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
69,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,76,7,historical/provenance value,historical editing record,Original editorial comment; provenance only,historical-labelled,retained,      next-steps paragraph. Generalisation gains the F-7 scope statement —,Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
70,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,83,7.7%,result,headline characterization / registered outcomes,docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt; docs/canonical/appendix-c-formalisation.md,stale,changed,"*Abstract--- How should AI advisory behaviour adapt as operational conditions deteriorate? Existing governance mechanisms are uniformly binary, meaning that the AI either generates its full recommendation set or is blocked entirely. This paper explores the available literature for the areas of AI governance, runtime assurance, human-AI collaboration, and deployment in low-resource settings, identifying how existing architectures limit the scope of AI advisory as environmental risk increases and providing motivation for a new governance architecture. Mechanistic studies show that there are three limitations: the inference pipeline is structurally fixed, the exploration of reasoning is a property of the decoding procedure and not a content-conditioned adaptation, and self-assessed confidence is unreliable and insensitive to past performance. Large-scale systematic reviews revealed that no architectural tactic demonstrated a formally positive impact on safety, while the most detailed guardrail taxonomy did not include a mechanism for restricting advisory scope based on environmental risk. Binary governance thus leaves intermediate-risk conditions structurally unaddressed: operators in low-resource settings either get full-scope tactical recommendations, or they do not get any. To address this gap, we propose a graduated safety-state-gated architecture, in which a participation gate and an AI advisory gate, both conditioned on the environmental safety state, produce an intermediate caution mode with formally restricted advisory scope. Three properties are proved: totality of the classifier, monotonic contraction of advisory scope, and safety dominance by construction. The architecture is instantiated for small-scale coastal fisheries and its governance layer executed against five years of hourly environmental data for the deployment site. The caution mode binds in 7.7% of departure-window hours for the operative vessel class over the full five-year record, and 6.0% when the wave input is replaced by a higher-resolution model covering a shorter period — conditions under which a binary architecture supplies its full recommendation set and this architecture withholds tactical output. Against the same record, a traffic-light baseline built on the closest structural precedent in the reviewed literature is shown to be output-equivalent to a plain binary gate, diverging from it in 0.00% of hours, which establishes the governance gap as a measurement rather than a claim. Predictions were pre-registered with numeric bounds before each analysis; twenty-two of twenty-four were confirmed and two refuted. Two predictions were additionally re-resolved when threshold provenance audits changed the specification they had been scored against — in one case reversing a refutation into a confirmation, in the other the reverse. Because no incident record exists for the site, the evaluation is a characterisation of governance behaviour and not a validation of classification correctness.*",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
71,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,83,6.0%,result,headline characterization / registered outcomes,docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt; docs/canonical/appendix-c-formalisation.md,stale,changed,"*Abstract--- How should AI advisory behaviour adapt as operational conditions deteriorate? Existing governance mechanisms are uniformly binary, meaning that the AI either generates its full recommendation set or is blocked entirely. This paper explores the available literature for the areas of AI governance, runtime assurance, human-AI collaboration, and deployment in low-resource settings, identifying how existing architectures limit the scope of AI advisory as environmental risk increases and providing motivation for a new governance architecture. Mechanistic studies show that there are three limitations: the inference pipeline is structurally fixed, the exploration of reasoning is a property of the decoding procedure and not a content-conditioned adaptation, and self-assessed confidence is unreliable and insensitive to past performance. Large-scale systematic reviews revealed that no architectural tactic demonstrated a formally positive impact on safety, while the most detailed guardrail taxonomy did not include a mechanism for restricting advisory scope based on environmental risk. Binary governance thus leaves intermediate-risk conditions structurally unaddressed: operators in low-resource settings either get full-scope tactical recommendations, or they do not get any. To address this gap, we propose a graduated safety-state-gated architecture, in which a participation gate and an AI advisory gate, both conditioned on the environmental safety state, produce an intermediate caution mode with formally restricted advisory scope. Three properties are proved: totality of the classifier, monotonic contraction of advisory scope, and safety dominance by construction. The architecture is instantiated for small-scale coastal fisheries and its governance layer executed against five years of hourly environmental data for the deployment site. The caution mode binds in 7.7% of departure-window hours for the operative vessel class over the full five-year record, and 6.0% when the wave input is replaced by a higher-resolution model covering a shorter period — conditions under which a binary architecture supplies its full recommendation set and this architecture withholds tactical output. Against the same record, a traffic-light baseline built on the closest structural precedent in the reviewed literature is shown to be output-equivalent to a plain binary gate, diverging from it in 0.00% of hours, which establishes the governance gap as a measurement rather than a claim. Predictions were pre-registered with numeric bounds before each analysis; twenty-two of twenty-four were confirmed and two refuted. Two predictions were additionally re-resolved when threshold provenance audits changed the specification they had been scored against — in one case reversing a refutation into a confirmation, in the other the reverse. Because no incident record exists for the site, the evaluation is a characterisation of governance behaviour and not a validation of classification correctness.*",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
72,publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Preamble,83,0.00%,result,headline characterization / registered outcomes,docs/canonical/report-c8-migration-2026-09-08.md; data/c8/canonical-results-post-migration.txt; docs/canonical/appendix-c-formalisation.md,stale,changed,"*Abstract--- How should AI advisory behaviour adapt as operational conditions deteriorate? Existing governance mechanisms are uniformly binary, meaning that the AI either generates its full recommendation set or is blocked entirely. This paper explores the available literature for the areas of AI governance, runtime assurance, human-AI collaboration, and deployment in low-resource settings, identifying how existing architectures limit the scope of AI advisory as environmental risk increases and providing motivation for a new governance architecture. Mechanistic studies show that there are three limitations: the inference pipeline is structurally fixed, the exploration of reasoning is a property of the decoding procedure and not a content-conditioned adaptation, and self-assessed confidence is unreliable and insensitive to past performance. Large-scale systematic reviews revealed that no architectural tactic demonstrated a formally positive impact on safety, while the most detailed guardrail taxonomy did not include a mechanism for restricting advisory scope based on environmental risk. Binary governance thus leaves intermediate-risk conditions structurally unaddressed: operators in low-resource settings either get full-scope tactical recommendations, or they do not get any. To address this gap, we propose a graduated safety-state-gated architecture, in which a participation gate and an AI advisory gate, both conditioned on the environmental safety state, produce an intermediate caution mode with formally restricted advisory scope. Three properties are proved: totality of the classifier, monotonic contraction of advisory scope, and safety dominance by construction. The architecture is instantiated for small-scale coastal fisheries and its governance layer executed against five years of hourly environmental data for the deployment site. The caution mode binds in 7.7% of departure-window hours for the operative vessel class over the full five-year record, and 6.0% when the wave input is replaced by a higher-resolution model covering a shorter period — conditions under which a binary architecture supplies its full recommendation set and this architecture withholds tactical output. Against the same record, a traffic-light baseline built on the closest structural precedent in the reviewed literature is shown to be output-equivalent to a plain binary gate, diverging from it in 0.00% of hours, which establishes the governance gap as a measurement rather than a claim. Predictions were pre-registered with numeric bounds before each analysis; twenty-two of twenty-four were confirmed and two refuted. Two predictions were additionally re-resolved when threshold provenance audits changed the specification they had been scored against — in one case reversing a refutation into a confirmation, in the other the reverse. Because no incident record exists for the site, the evaluation is a characterisation of governance behaviour and not a validation of classification correctness.*",Original queue location retained. Exact before/after text is in edit-log.json; category is not an empirical validation claim.
