file,role,coverage,action,continuation_scope
publications/publication-plan.md,publication-supporting document,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/templates/journal-template.md,publication-supporting document,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
publications/templates/response-to-reviewers-template.md,publication-supporting document,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/MASTER_LOG.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/admin/part-i-student-report.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/admin/part-ii-research-goals.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/analysis/ai-detection.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/analysis/content-audit-check2-plan.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/analysis/content-audit-check3-analysis.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/analysis/content-audit-check4-analysis.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/analysis/content-audit-check5-analysis.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/analysis/content-audit-check6-analysis.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/analysis/synthesis-shamsujjoha-alignment.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/analysis/verification-flehmig-shamsujjoha.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/analysis/viva-qa-novelty-problem-gap.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/CHANGELOG.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/appendix-c-formalisation.md,canonical source or supporting document; scope review pending,partially inspected,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/approval-report-sdr-001-2026-09-08.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/architecture-illustration.md,canonical source or supporting document; scope review pending,partially inspected,preserved; no edits,Supporting correction / reuse pointer; see edit-log
docs/canonical/citation-notes-map.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/cleanup-report-c0-solar-provenance-2026-09-08.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/cleanup-report-cause-taxonomy-2026-09-08.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/cleanup-report-unsafe-semantics-2026-09-08.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/data-provenance.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/decision-record-empirical-first.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/discussion-notes-governance-gap-precedents-and-formal-foundations.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/empirical-findings-2026-09-06.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/evaluation-design-rq4.md,explicitly superseded scenario design; later time annotation retained,partially inspected,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/finding-bottom-semantics.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/finding-cause-taxonomy-audit-2026-09-08.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/finding-gt-evidence-closure.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/finding-gt-operational-semantics.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/finding-gt-provenance-audit.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/finding-gt-sensitivity-analysis.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/finding-met-hydrodynamic-gap.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/finding-met-lower-boundary-gap.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/finding-sdr-001-readiness-audit.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/finding-unsafe-semantics-audit.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/justification-layer3-enforcement.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/master-coding-table.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/paper-review-synopsis.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/report-c1-c2-c3-solar-reproducibility-2026-09-08.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/report-c2-closure-2026-09-08.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/report-c4-closure-2026-09-08.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/report-c5-closure-2026-09-08.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/report-c6-closure-2026-09-08.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/report-c7-closure-2026-09-08.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/report-c8-migration-2026-09-08.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/research-alignment-table.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/review-protocol.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/rq5-study-design.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/session-log-2026-09-06.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/session-log-2026-09-08.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/canonical/traceability-table.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/chapters/archive/research-proposal-v3.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/chapters/chapter-2-literature-review/v1-initial-draft.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/implementation/data-source-met-malaysia.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/implementation/dataset-label-derivation.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/implementation/extraction-prompt-methodological.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/implementation/extraction-prompt-search-methodology.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/advisory-scope-restriction.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/ai-necessity.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/architectural-comparison.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/architecture-differentiation.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/big-questions.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/binary-governance-external-evidence.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/caution-mode-operation.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/coding-dimensions.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/contribution-characterisation.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/environmental-state-governance.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/formal-model.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/literature-review-methodology.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/low-resource-environments.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/novelty-gap.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/rainfall-intensity-mapping.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/safety-state-design.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/socio-technical-evaluation.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/three-states.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/unified-governance.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/justification/viva-formalisation-architecture.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/obsolete/Architectural Layering Design and Graphic Representation.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/obsolete/architectural-layering-design.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/obsolete/research-proposal-draft.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/obsolete/research-proposal-v2.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/obsolete/writing-skill.md,historical/provenance,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/reference/caution-state-technical-novelty-ref.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/reference/citation-audit-report.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/reference/comments-1.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/reference/explainer-per-component-classification-functions.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/reference/improvement-plan-1.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/reference/instruction-plan.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/reference/literature_review_improvement_plan-2.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/reference/paper-reference-list.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/reference/research-improvement-plan.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/superpowers/plans/2026-04-01-research-commands.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/superpowers/plans/2026-07-16-ipsci-paper-v4-revision.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/superpowers/plans/2026-07-22-v6-restructure.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/superpowers/plans/2026-07-25-v6-symbolic-ai-framing.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/superpowers/plans/2026-09-06-formal-model-and-evaluation-realignment.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/superpowers/plans/2026-09-06-search-and-selection-protocol.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/superpowers/specs/2026-04-01-research-commands-design.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/superpowers/specs/2026-07-12-docs-organization-plan.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/superpowers/specs/2026-07-12-migration-plan.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/superpowers/specs/2026-07-25-v6-symbolic-ai-framing-design.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/superpowers/specs/2026-07-27-amict-compression-design.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/superpowers/specs/organize.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/writing-plans/plan-chapter-1-introduction.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/writing-plans/plan-chapter-2-lit-review.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/writing-plans/plan-chapter-2-structure.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
docs/writing-plans/plan-layer3-model-type.md,canonical source or supporting document; scope review pending,inventoried only; audit not completed,preserved; no edits,Original inventory role retained; not claimed as a full independent review
