file,section,line,item_type,metric_name,current_text,expected_canonical,status,action,rationale
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Formal Properties,269,definition,totality proof partitions,"*Proof sketch.* Each condition classification function partitions its input domain exhaustively and without overlap: g_w partitions ℝ≥0 into [0, 22], (22, 27], (27, +∞); g_r and g_m enumerate all categorical values without omission; g_t partitions [0, 24) into [6.0, 17.0), [17.0, 19.0), [19.0, 24.0) ∪ [0.0, 6.0). The wave height function g_o(o, v) is two-argument, with domain ℝ≥0 × {small, medium, big}: for each fixed v the corresponding row of TABLE IIIb induces three intervals partitioning ℝ≥0 exhaustively, and {small, medium, big} is finite and exhausts the domain of v, so every pair (o, v) selects exactly one row and falls in exactly one interval of that row. Parameterisation by a finite index set preserves totality provided each induced partition is exhaustive. Each function is therefore total. The aggregation f(E) = max_≻ {gᵢ(xᵢ)} over a finite totally ordered set is always defined and returns a unique maximum. The fail-safe rule — if any xᵢ = ⊥ then f(E) = UNSAFE — extends totality to corrupted or missing inputs. □",docs/canonical/appendix-c-formalisation.md C.2: wind 21.6; rainfall numeric 10/20; time binary solar-event; C.1b operational totality,STALE,flagged,"Proof still contains 22, categorical rainfall and fixed-clock twilight CAUTION."
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Domain Instantiation,402,definition,Fig.4 illustrative time classification,[0600 - Early Morning],canonical_gt: time needs date; 06:00 SAFE not established by the illustration,STALE,flagged,Fig.4 labels 0600 SAFE with no date. A corrected illustration must provide valid canonical time context.
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Domain Instantiation,431,definition,Fig.4 wind boundary, Note: wind at 18 kt is SAFE (CAUTION begins above 22 kt) — CAUTION at mid-morning is driven by the marine advisory,docs/canonical/appendix-c-formalisation.md C.2 g_w: CAUTION above 21.6 kn,STALE,flagged,Caption note still says above 22 kt.
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Empirical Characterisation,485,number,interpretation headline,"**What these results do not establish.** No incident record exists for the deployment site — no accident reports, no capsizings, no near-misses against which classifications could be scored. This is a **characterisation, not a validation**: the results establish that the architecture would have restricted advisory scope on 7.7% of departure mornings, and not that those were the correct mornings to restrict. Establishing correctness would require outcome data that does not exist for this site, and no further environmental data collection can substitute for it. The formal guarantees in Section IV are unaffected, since they are proved from the structure of the governance pair rather than from threshold values; what remains unvalidated is the domain instantiation, not the architecture.",C-8 PRIMARY 5.81% / RESOLUTION 4.48% of departure-window hours,STALE,flagged,Current interpretation retains old rounded headline.
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Threats to Validity,516,claim,time transition consequence,"**A discontinuous governance boundary in the time classifier.** A fifth threat concerns the time component and is stated here because it bears directly on the graduated-governance claim this paper makes. The classifier is SAFE from sunrise to sunset and UNSAFE otherwise, with its boundary taken from COLREGs Rule 20(b) and its solar events computed per date from a frozen, version-pinned astronomical artefact validated against the U.S. Naval Observatory. **It transitions directly between SAFE and UNSAFE, with no intermediate value.** Over the five-year record, direct SAFE→UNSAFE transitions number **1,536**, against **2** under the fixed-clock classifier this replaced; time-driven SAFE→CAUTION transitions are **0**, against **1,545**. The architecture's central argument is that graduated governance is preferable to a binary step, and under this classifier the most predictable transition of the day *is* a step — so the tension is real and is disclosed rather than absorbed. Three qualifications bound it. First, the step follows from **removing an intermediate time band for which no evidence was found** — three reviews located no source supporting a twilight CAUTION state, and the fixed-clock boundaries it replaced (06:00 / 17:00 / 19:00) had no located source at all, with SAFE beginning before sunrise on every day of the year. It does not follow from any claim that conditions change discontinuously at sunset; nothing physical, meteorological or physiological is asserted to be discontinuous there. Second, the discontinuity is confined to the time component: **the architecture remains globally three-state**, with CAUTION reached through the wave and rainfall classifiers in 2,091 of 43,848 hours (4.77%), all weather-driven, and the containment property A_AI(SAFE) ⊃ A_AI(CAUTION) ⊃ A_AI(UNSAFE) = ∅ untouched. Third, the residual concern is a usability one — predictable withdrawal of advisory support at sunset may warrant anticipatory interface support, which is a notification concern separate from the safety-state classifier and is deliberately not addressed by inventing an intermediate state to smooth the transition. Finally, the governance rule itself is a **policy** choice: the evidence establishes that night navigation carries elevated risk and that COLREGs defines sunset-to-sunrise as the navigation-light boundary, but **no source establishes that AI advisory participation must be withdrawn at that boundary**, and none is claimed.","C-8: 2→1,536 direct SAFE→UNSAFE; 1,545→0 time-driven SAFE→CAUTION; no physical-risk inference",PASS,retained,Required design consequence and policy caveat already disclosed; does not imply entire Threats section passes.
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Deployment Challenges and Limitations,506,claim,human final authority,"Three limitations bound the scope of the claims. First, the recommendation type space R = {Go, Delay, DepartureTime, Duration} is domain-specific to the coastal fisheries departure decision context. Extension to another domain requires instantiating a new R and A_AI(S) appropriate to that domain's recommendation vocabulary; the formal properties (Totality, Monotonicity, Safety Dominance) transfer automatically to any correct instantiation. Second, the rule sets RS(SAFE) and RS(CAUTION) require domain expert validation. Encoding errors do not violate the Safety Dominance Property — the construction proof holds regardless of rule content — but they can produce incorrect advisory output within the permitted scope. The Safety Dominance Property bounds what the AI may say, not whether what it says is correct. Third, the architecture governs advisory scope, not final decisions. Human override is unconditional; the operator may act contrary to any AI recommendation at any time. Whether the CAUTION mode produces the intended effect — calibrated reliance rather than over-reliance or non-reliance — is an empirical question that the proposed user study (RQ5) is designed to address.",docs/canonical/appendix-c-formalisation.md C.8.2: unconditional human authority,PASS,retained,Explicitly retained even when AI withholds output.
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Empirical Characterisation,464,definition,retrospective marine-warning exclusion,"*g*_m is a different case. No historical archive of marine warning levels is available for the site, so *m* is held at *none* throughout the replay. Because aggregation is by maximum severity, *g*_m can only raise a classification, never lower one. **Every severity figure reported here is therefore a lower bound.**",docs/canonical/appendix-c-formalisation.md D={m} for historical replay; no archive; not runtime default,AMBIGUOUS,flagged,No-archive disclosure present; full exclusion/runtime distinction not completed before stop.
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,The CAUTION Mode,377,claim,epistemic justification of CAUTION,"Only recommendations that are epistemically supportable under marginal environmental conditions are included in the *CAUTION* admissible set. *Go* and *Delay* require only a general assessment of whether current conditions are acceptable for departure. *DepartureTime* and *Duration*, on the other hand, assume future stable and predictable conditions: a departure window requires accurate short-term forecasting, whereas a trip duration estimate assumes stable sea state for the entire planning horizon. Once the system is in *CAUTION*, that predictive confidence is no longer available. The governance layer therefore withdraws tactical optimisation and preserves only coarse operational guidance: the conservative middle position between full advisory capability and complete AI disengagement.",Architecture policy versus evidence requires review against Appendix C.4,AMBIGUOUS,flagged,Epistemic support language needs classification; no material scientific-claim rewrite attempted.
publications/active/ipsci-2026/submissions/v3-revision/manuscript-v3.md,Proposed Architecture,227,claim,standards-to-policy mapping,"The architecture is situated within established governance standards. The NIST AI Risk Management Framework [35] defines risk tiers for AI systems in safety-critical applications; the SAFE/CAUTION/UNSAFE classification operationalises that tiered approach at runtime, with UNSAFE mapping to the highest risk tier where AI participation is suspended and CAUTION to an intermediate tier where advisory scope is formally bounded. Graduated safety constraints are a precedent in safety engineering: IEC 61508 Safety Integrity Levels and ISO 26262 Automotive Safety Integrity Levels both impose progressively stricter design and verification requirements as risk increases, and the A_AI(S) contraction from SAFE to CAUTION mirrors this principle at the advisory scope level. Taken together, the architecture realises the deterministic guard principle of Bloomfield and Rushby [20] — surrounding the AI component with a formally specified, state-conditioned constraint — at the level of advisory scope rather than execution.",External standard support must be distinguished from architecture policy,AMBIGUOUS,flagged,Risk-tier mapping is unverified in this stopped audit; no external research begun.
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,A Formally Verified Runtime AI Governance Architecture Based on Graduated Safety-State Gating,3,definition,Journal 1 current-status banner,"> **⚠️ SDR-001 APPLIED 2026-09-08 — active working manuscript.** `g_t` is the canonical solar-event classifier: **SAFE sunrise ≤ t < sunset, UNSAFE otherwise**, `g_t(⊥) = UNSAFE`, and it emits **no CAUTION**. The fixed clock 06:00 / 17:00 / 19:00 and its 17:00–19:00 CAUTION band are superseded. **""Daylight"" means sunrise ≤ t < sunset.** Canonical figures: Level 2 binds **5.81% / 4.48%**; prediction register **15 CONFIRMED / 9 REFUTED**. Earlier values (7.72% / 5.98%, 22/2, 5,416 / 70 / 6.2%) are provenance only. Submitted and archived versions are historical and are not edited. See `report-c8-migration-2026-09-08.md`.","C-8: 5.81% / 4.48%, 15/9, binary solar time",PASS,retained,Explicitly an active working manuscript despite v1-initial-submission path; later sections not certified aligned.
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,9. Prototype Implementation,576,number,Journal 1 prototype plan hysteresis,"- Hysteresis smoothing at state transition boundaries. ⚠️ **Present as a retained precaution, not a necessity.** Measured on five years of site data under the canonical specification: 26 oscillation events (5.2/yr), hysteresis reduces non-scheduled transitions by 10.36%. State the hourly-resolution bound. See `empirical-findings-2026-09-06.md` F-6",C-8: 26 in 5 yr; 10.36%,PASS,retained,"Current matched metrics; section is a plan, not an implementation claim."
publications/active/journal-1/submissions/v1-initial-submission/manuscript.md,12. Ablation Study,631,number,Journal 1 ablation plan transition metrics,"- Remove hysteresis smoothing — measures mode-chattering frequency. ⚠️ **Already run on historical replay (F-6), canonical specification: 3,661 transitions, the large majority scheduled solar events, 26 genuine oscillations in five years, 10.36% reduction from hysteresis.** This ablation reports a near-null result; write it up as such rather than re-running it as an open question","C-8: 3,661 / 26 / 10.36%",PASS,retained,Current matched figures; no replay needed.
docs/canonical/appendix-c-formalisation.md,Aggregation,417,number,canonical wind boundary,"| SAFE | w ≤ **21.6** knots | **MET Malaysia Category 1 onset — 40 km/h.** 40 ÷ 1.852 = 21.598 kn, expressed at the one-decimal resolution of the data. Corroborated by Rahim et al.: full fishing operations in the low-wind season | **Official — MET** |",21.6 kn SAFE upper boundary; 27.0 kn CAUTION upper boundary,PASS,retained,Authoritative formal table explicitly amends 22→21.6.
docs/canonical/architecture-illustration.md,5.2 Per-Parameter Classification,233,definition,supporting wind table,| **w** — Wind speed | < 22 knots (< 40 km/h) | 22–27 knots (40–50 km/h) | > 27 knots (> 50 km/h) |,docs/canonical/appendix-c-formalisation.md g_w table: 21.6 kn with canonical endpoint conventions,STALE,flagged,22-kn table is stale supporting prose. File explicitly defers formal definitions to Appendix C; preliminary SC-1 concern is not a confirmed unresolved canonical conflict.
docs/canonical/evaluation-design-rq4.md,4. Scenario set,103,definition,superseded scenario-design threshold,| w (wind speed) | < 22 kn (< 40 km/h) | 22–27 kn (40–50 km/h) | > 27 kn (> 50 km/h) |,Historical-labelled by document-opening SUPERSEDED banner,PASS,retained,Historical preservation applies. Initial suspicion of active SC-1 conflict withdrawn after banner check.
