timestamp_myt,date,hour,tide_height_m
2020-01-05T19:00,2020-01-05,19,0.323
2020-01-05T20:00,2020-01-05,20,0.325
2020-01-05T21:00,2020-01-05,21,0.291
2020-01-05T22:00,2020-01-05,22,0.201
2020-01-05T23:00,2020-01-05,23,0.057
2020-01-06T00:00,2020-01-06,0,-0.078
2020-01-06T01:00,2020-01-06,1,-0.148
2020-01-06T02:00,2020-01-06,2,-0.166
2020-01-06T03:00,2020-01-06,3,-0.182
2020-01-06T04:00,2020-01-06,4,-0.201
2020-01-06T05:00,2020-01-06,5,-0.192
2020-01-06T06:00,2020-01-06,6,-0.152
2020-01-06T07:00,2020-01-06,7,-0.115
2020-01-06T08:00,2020-01-06,8,-0.094
2020-01-06T09:00,2020-01-06,9,-0.082
2020-01-06T10:00,2020-01-06,10,-0.09
2020-01-06T11:00,2020-01-06,11,-0.132
2020-01-06T12:00,2020-01-06,12,-0.172
2020-01-06T13:00,2020-01-06,13,-0.148
2020-01-06T14:00,2020-01-06,14,-0.052
2020-01-06T15:00,2020-01-06,15,0.061
2020-01-06T16:00,2020-01-06,16,0.153
2020-01-06T17:00,2020-01-06,17,0.242
2020-01-06T18:00,2020-01-06,18,0.341
2020-01-06T19:00,2020-01-06,19,0.417
2020-01-06T20:00,2020-01-06,20,0.434
2020-01-06T21:00,2020-01-06,21,0.394
2020-01-06T22:00,2020-01-06,22,0.299
2020-01-06T23:00,2020-01-06,23,0.141
2020-01-07T00:00,2020-01-07,0,-0.059
2020-01-07T01:00,2020-01-07,1,-0.229
2020-01-07T02:00,2020-01-07,2,-0.32
2020-01-07T03:00,2020-01-07,3,-0.357
2020-01-07T04:00,2020-01-07,4,-0.382
2020-01-07T05:00,2020-01-07,5,-0.383
2020-01-07T06:00,2020-01-07,6,-0.331
2020-01-07T07:00,2020-01-07,7,-0.238
2020-01-07T08:00,2020-01-07,8,-0.152
2020-01-07T09:00,2020-01-07,9,-0.093
2020-01-07T10:00,2020-01-07,10,-0.054
2020-01-07T11:00,2020-01-07,11,-0.046
2020-01-07T12:00,2020-01-07,12,-0.07
2020-01-07T13:00,2020-01-07,13,-0.084
2020-01-07T14:00,2020-01-07,14,-0.031
2020-01-07T15:00,2020-01-07,15,0.081
2020-01-07T16:00,2020-01-07,16,0.196
2020-01-07T17:00,2020-01-07,17,0.29
2020-01-07T18:00,2020-01-07,18,0.389
2020-01-07T19:00,2020-01-07,19,0.492
2020-01-07T20:00,2020-01-07,20,0.55
2020-01-07T21:00,2020-01-07,21,0.527
2020-01-07T22:00,2020-01-07,22,0.427
2020-01-07T23:00,2020-01-07,23,0.262
2020-01-08T00:00,2020-01-08,0,0.037
2020-01-08T01:00,2020-01-08,1,-0.21
2020-01-08T02:00,2020-01-08,2,-0.406
2020-01-08T03:00,2020-01-08,3,-0.511
2020-01-08T04:00,2020-01-08,4,-0.556
2020-01-08T05:00,2020-01-08,5,-0.569
2020-01-08T06:00,2020-01-08,6,-0.531
2020-01-08T07:00,2020-01-08,7,-0.42
2020-01-08T08:00,2020-01-08,8,-0.273
2020-01-08T09:00,2020-01-08,9,-0.15
2020-01-08T10:00,2020-01-08,10,-0.068
2020-01-08T11:00,2020-01-08,11,-0.016
2020-01-08T12:00,2020-01-08,12,0.002
2020-01-08T13:00,2020-01-08,13,-0.008
2020-01-08T14:00,2020-01-08,14,0.003
2020-01-08T15:00,2020-01-08,15,0.078
2020-01-08T16:00,2020-01-08,16,0.201
2020-01-08T17:00,2020-01-08,17,0.32
2020-01-08T18:00,2020-01-08,18,0.426
2020-01-08T19:00,2020-01-08,19,0.54
2020-01-08T20:00,2020-01-08,20,0.643
2020-01-08T21:00,2020-01-08,21,0.67
2020-01-08T22:00,2020-01-08,22,0.59
2020-01-08T23:00,2020-01-08,23,0.422
2020-01-09T00:00,2020-01-09,0,0.189
2020-01-09T01:00,2020-01-09,1,-0.093
2020-01-09T02:00,2020-01-09,2,-0.377
2020-01-09T03:00,2020-01-09,3,-0.589
2020-01-09T04:00,2020-01-09,4,-0.7
2020-01-09T05:00,2020-01-09,5,-0.739
2020-01-09T06:00,2020-01-09,6,-0.722
2020-01-09T07:00,2020-01-09,7,-0.628
2020-01-09T08:00,2020-01-09,8,-0.456
2020-01-09T09:00,2020-01-09,9,-0.269
2020-01-09T10:00,2020-01-09,10,-0.127
2020-01-09T11:00,2020-01-09,11,-0.038
2020-01-09T12:00,2020-01-09,12,0.017
2020-01-09T13:00,2020-01-09,13,0.042
2020-01-09T14:00,2020-01-09,14,0.046
2020-01-09T15:00,2020-01-09,15,0.077
2020-01-09T16:00,2020-01-09,16,0.171
2020-01-09T17:00,2020-01-09,17,0.304
2020-01-09T18:00,2020-01-09,18,0.434
2020-01-09T19:00,2020-01-09,19,0.561
2020-01-09T20:00,2020-01-09,20,0.692
2020-01-09T21:00,2020-01-09,21,0.783
2020-01-09T22:00,2020-01-09,22,0.765
2020-01-09T23:00,2020-01-09,23,0.619
2020-01-10T00:00,2020-01-10,0,0.384
2020-01-10T01:00,2020-01-10,1,0.093
2020-01-10T02:00,2020-01-10,2,-0.232
2020-01-10T03:00,2020-01-10,3,-0.539
2020-01-10T04:00,2020-01-10,4,-0.757
2020-01-10T05:00,2020-01-10,5,-0.864
2020-01-10T06:00,2020-01-10,6,-0.883
2020-01-10T07:00,2020-01-10,7,-0.823
2020-01-10T08:00,2020-01-10,8,-0.669
2020-01-10T09:00,2020-01-10,9,-0.448
2020-01-10T10:00,2020-01-10,10,-0.24
2020-01-10T11:00,2020-01-10,11,-0.1
2020-01-10T12:00,2020-01-10,12,-0.016
2020-01-10T13:00,2020-01-10,13,0.04
2020-01-10T14:00,2020-01-10,14,0.07
2020-01-10T15:00,2020-01-10,15,0.087
2020-01-10T16:00,2020-01-10,16,0.135
2020-01-10T17:00,2020-01-10,17,0.244
2020-01-10T18:00,2020-01-10,18,0.39
2020-01-10T19:00,2020-01-10,19,0.538
2020-01-10T20:00,2020-01-10,20,0.689
2020-01-10T21:00,2020-01-10,21,0.83
2020-01-10T22:00,2020-01-10,22,0.896
2020-01-10T23:00,2020-01-10,23,0.822
2020-01-11T00:00,2020-01-11,0,0.612
2020-01-11T01:00,2020-01-11,1,0.322
2020-01-11T02:00,2020-01-11,2,-0.01
2020-01-11T03:00,2020-01-11,3,-0.361
2020-01-11T04:00,2020-01-11,4,-0.677
2020-01-11T05:00,2020-01-11,5,-0.891
2020-01-11T06:00,2020-01-11,6,-0.982
2020-01-11T07:00,2020-01-11,7,-0.97
2020-01-11T08:00,2020-01-11,8,-0.861
2020-01-11T09:00,2020-01-11,9,-0.656
2020-01-11T10:00,2020-01-11,10,-0.408
2020-01-11T11:00,2020-01-11,11,-0.202
2020-01-11T12:00,2020-01-11,12,-0.079
2020-01-11T13:00,2020-01-11,13,-0.005
2020-01-11T14:00,2020-01-11,14,0.05
2020-01-11T15:00,2020-01-11,15,0.086
2020-01-11T16:00,2020-01-11,16,0.113
2020-01-11T17:00,2020-01-11,17,0.174
2020-01-11T18:00,2020-01-11,18,0.297
2020-01-11T19:00,2020-01-11,19,0.458
2020-01-11T20:00,2020-01-11,20,0.627
2020-01-11T21:00,2020-01-11,21,0.797
2020-01-11T22:00,2020-01-11,22,0.935
2020-01-11T23:00,2020-01-11,23,0.964
2020-01-12T00:00,2020-01-12,0,0.832
2020-01-12T01:00,2020-01-12,1,0.57
2020-01-12T02:00,2020-01-12,2,0.246
2020-01-12T03:00,2020-01-12,3,-0.106
2020-01-12T04:00,2020-01-12,4,-0.466
2020-01-12T05:00,2020-01-12,5,-0.777
2020-01-12T06:00,2020-01-12,6,-0.974
2020-01-12T07:00,2020-01-12,7,-1.038
2020-01-12T08:00,2020-01-12,8,-0.988
2020-01-12T09:00,2020-01-12,9,-0.835
2020-01-12T10:00,2020-01-12,10,-0.597
2020-01-12T11:00,2020-01-12,11,-0.344
2020-01-12T12:00,2020-01-12,12,-0.161
2020-01-12T13:00,2020-01-12,13,-0.062
2020-01-12T14:00,2020-01-12,14,-0.0
2020-01-12T15:00,2020-01-12,15,0.055
2020-01-12T16:00,2020-01-12,16,0.092
2020-01-12T17:00,2020-01-12,17,0.124
2020-01-12T18:00,2020-01-12,18,0.195
2020-01-12T19:00,2020-01-12,19,0.33
2020-01-12T20:00,2020-01-12,20,0.505
2020-01-12T21:00,2020-01-12,21,0.689
2020-01-12T22:00,2020-01-12,22,0.865
2020-01-12T23:00,2020-01-12,23,0.986
2020-01-13T00:00,2020-01-13,0,0.97
2020-01-13T01:00,2020-01-13,1,0.789
2020-01-13T02:00,2020-01-13,2,0.497
2020-01-13T03:00,2020-01-13,3,0.163
2020-01-13T04:00,2020-01-13,4,-0.188
2020-01-13T05:00,2020-01-13,5,-0.537
2020-01-13T06:00,2020-01-13,6,-0.827
2020-01-13T07:00,2020-01-13,7,-0.993
2020-01-13T08:00,2020-01-13,8,-1.021
2020-01-13T09:00,2020-01-13,9,-0.934
2020-01-13T10:00,2020-01-13,10,-0.749
2020-01-13T11:00,2020-01-13,11,-0.499
2020-01-13T12:00,2020-01-13,12,-0.265
2020-01-13T13:00,2020-01-13,13,-0.116
2020-01-13T14:00,2020-01-13,14,-0.044
2020-01-13T15:00,2020-01-13,15,0.008
2020-01-13T16:00,2020-01-13,16,0.059
2020-01-13T17:00,2020-01-13,17,0.092
2020-01-13T18:00,2020-01-13,18,0.123
2020-01-13T19:00,2020-01-13,19,0.199
2020-01-13T20:00,2020-01-13,20,0.34
2020-01-13T21:00,2020-01-13,21,0.52
2020-01-13T22:00,2020-01-13,22,0.706
2020-01-13T23:00,2020-01-13,23,0.873
2020-01-14T00:00,2020-01-14,0,0.963
2020-01-14T01:00,2020-01-14,1,0.906
2020-01-14T02:00,2020-01-14,2,0.694
2020-01-14T03:00,2020-01-14,3,0.397
2020-01-14T04:00,2020-01-14,4,0.079
2020-01-14T05:00,2020-01-14,5,-0.248
2020-01-14T06:00,2020-01-14,6,-0.569
2020-01-14T07:00,2020-01-14,7,-0.82
2020-01-14T08:00,2020-01-14,8,-0.942
2020-01-14T09:00,2020-01-14,9,-0.931
2020-01-14T10:00,2020-01-14,10,-0.814
2020-01-14T11:00,2020-01-14,11,-0.613
2020-01-14T12:00,2020-01-14,12,-0.372
2020-01-14T13:00,2020-01-14,13,-0.172
2020-01-14T14:00,2020-01-14,14,-0.062
2020-01-14T15:00,2020-01-14,15,-0.015
2020-01-14T16:00,2020-01-14,16,0.027
2020-01-14T17:00,2020-01-14,17,0.068
2020-01-14T18:00,2020-01-14,18,0.088
2020-01-14T19:00,2020-01-14,19,0.109
2020-01-14T20:00,2020-01-14,20,0.182
2020-01-14T21:00,2020-01-14,21,0.32
2020-01-14T22:00,2020-01-14,22,0.49
2020-01-14T23:00,2020-01-14,23,0.661
2020-01-15T00:00,2020-01-15,0,0.804
2020-01-15T01:00,2020-01-15,1,0.86
2020-01-15T02:00,2020-01-15,2,0.772
2020-01-15T03:00,2020-01-15,3,0.554
2020-01-15T04:00,2020-01-15,4,0.281
2020-01-15T05:00,2020-01-15,5,0.002
2020-01-15T06:00,2020-01-15,6,-0.283
2020-01-15T07:00,2020-01-15,7,-0.557
2020-01-15T08:00,2020-01-15,8,-0.755
2020-01-15T09:00,2020-01-15,9,-0.825
2020-01-15T10:00,2020-01-15,10,-0.776
2020-01-15T11:00,2020-01-15,11,-0.64
2020-01-15T12:00,2020-01-15,12,-0.441
2020-01-15T13:00,2020-01-15,13,-0.225
2020-01-15T14:00,2020-01-15,14,-0.065
2020-01-15T15:00,2020-01-15,15,0.007
2020-01-15T16:00,2020-01-15,16,0.033
2020-01-15T17:00,2020-01-15,17,0.061
2020-01-15T18:00,2020-01-15,18,0.083
2020-01-15T19:00,2020-01-15,19,0.079
2020-01-15T20:00,2020-01-15,20,0.081
2020-01-15T21:00,2020-01-15,21,0.14
2020-01-15T22:00,2020-01-15,22,0.261
2020-01-15T23:00,2020-01-15,23,0.406
2020-01-16T00:00,2020-01-16,0,0.547
2020-01-16T01:00,2020-01-16,1,0.657
2020-01-16T02:00,2020-01-16,2,0.684
2020-01-16T03:00,2020-01-16,3,0.584
2020-01-16T04:00,2020-01-16,4,0.387
2020-01-16T05:00,2020-01-16,5,0.163
2020-01-16T06:00,2020-01-16,6,-0.058
2020-01-16T07:00,2020-01-16,7,-0.288
2020-01-16T08:00,2020-01-16,8,-0.503
2020-01-16T09:00,2020-01-16,9,-0.639
2020-01-16T10:00,2020-01-16,10,-0.656
2020-01-16T11:00,2020-01-16,11,-0.576
2020-01-16T12:00,2020-01-16,12,-0.433
2020-01-16T13:00,2020-01-16,13,-0.25
2020-01-16T14:00,2020-01-16,14,-0.068
2020-01-16T15:00,2020-01-16,15,0.051
2020-01-16T16:00,2020-01-16,16,0.092
2020-01-16T17:00,2020-01-16,17,0.099
2020-01-16T18:00,2020-01-16,18,0.108
2020-01-16T19:00,2020-01-16,19,0.1
2020-01-16T20:00,2020-01-16,20,0.061
2020-01-16T21:00,2020-01-16,21,0.034
2020-01-16T22:00,2020-01-16,22,0.068
2020-01-16T23:00,2020-01-16,23,0.158
2020-01-17T00:00,2020-01-17,0,0.265
2020-01-17T01:00,2020-01-17,1,0.367
2020-01-17T02:00,2020-01-17,2,0.445
2020-01-17T03:00,2020-01-17,3,0.456
2020-01-17T04:00,2020-01-17,4,0.369
2020-01-17T05:00,2020-01-17,5,0.218
2020-01-17T06:00,2020-01-17,6,0.061
2020-01-17T07:00,2020-01-17,7,-0.093
2020-01-17T08:00,2020-01-17,8,-0.261
2020-01-17T09:00,2020-01-17,9,-0.413
2020-01-17T10:00,2020-01-17,10,-0.485
2020-01-17T11:00,2020-01-17,11,-0.455
2020-01-17T12:00,2020-01-17,12,-0.355
2020-01-17T13:00,2020-01-17,13,-0.218
2020-01-17T14:00,2020-01-17,14,-0.058
2020-01-17T15:00,2020-01-17,15,0.09
2020-01-17T16:00,2020-01-17,16,0.175
2020-01-17T17:00,2020-01-17,17,0.191
2020-01-17T18:00,2020-01-17,18,0.181
2020-01-17T19:00,2020-01-17,19,0.162
2020-01-17T20:00,2020-01-17,20,0.111
2020-01-17T21:00,2020-01-17,21,0.027
2020-01-17T22:00,2020-01-17,22,-0.036
2020-01-17T23:00,2020-01-17,23,-0.035
2020-01-18T00:00,2020-01-18,0,0.014
2020-01-18T01:00,2020-01-18,1,0.075
2020-01-18T02:00,2020-01-18,2,0.138
2020-01-18T03:00,2020-01-18,3,0.196
2020-01-18T04:00,2020-01-18,4,0.211
2020-01-18T05:00,2020-01-18,5,0.159
2020-01-18T06:00,2020-01-18,6,0.073
2020-01-18T07:00,2020-01-18,7,-0.01
2020-01-18T08:00,2020-01-18,8,-0.099
2020-01-18T09:00,2020-01-18,9,-0.208
2020-01-18T10:00,2020-01-18,10,-0.299
2020-01-18T11:00,2020-01-18,11,-0.313
2020-01-18T12:00,2020-01-18,12,-0.246
2020-01-18T13:00,2020-01-18,13,-0.14
2020-01-18T14:00,2020-01-18,14,-0.018
2020-01-18T15:00,2020-01-18,15,0.117
2020-01-18T16:00,2020-01-18,16,0.238
2020-01-18T17:00,2020-01-18,17,0.299
2020-01-18T18:00,2020-01-18,18,0.299
2020-01-18T19:00,2020-01-18,19,0.269
2020-01-18T20:00,2020-01-18,20,0.213
2020-01-18T21:00,2020-01-18,21,0.11
2020-01-18T22:00,2020-01-18,22,-0.024
2020-01-18T23:00,2020-01-18,23,-0.127
2020-01-19T00:00,2020-01-19,0,-0.163
2020-01-19T01:00,2020-01-19,1,-0.159
2020-01-19T02:00,2020-01-19,2,-0.144
2020-01-19T03:00,2020-01-19,3,-0.109
2020-01-19T04:00,2020-01-19,4,-0.055
2020-01-19T05:00,2020-01-19,5,-0.015
2020-01-19T06:00,2020-01-19,6,-0.013
2020-01-19T07:00,2020-01-19,7,-0.028
2020-01-19T08:00,2020-01-19,8,-0.044
2020-01-19T09:00,2020-01-19,9,-0.078
2020-01-19T10:00,2020-01-19,10,-0.138
2020-01-19T11:00,2020-01-19,11,-0.176
2020-01-19T12:00,2020-01-19,12,-0.144
2020-01-19T13:00,2020-01-19,13,-0.055
2020-01-19T14:00,2020-01-19,14,0.046
2020-01-19T15:00,2020-01-19,15,0.149
2020-01-19T16:00,2020-01-19,16,0.266
2020-01-19T17:00,2020-01-19,17,0.371
2020-01-19T18:00,2020-01-19,18,0.42
2020-01-19T19:00,2020-01-19,19,0.406
2020-01-19T20:00,2020-01-19,20,0.351
2020-01-19T21:00,2020-01-19,21,0.249
2020-01-19T22:00,2020-01-19,22,0.089
2020-01-19T23:00,2020-01-19,23,-0.095
2020-01-20T00:00,2020-01-20,0,-0.235
2020-01-20T01:00,2020-01-20,1,-0.308
2020-01-20T02:00,2020-01-20,2,-0.347
2020-01-20T03:00,2020-01-20,3,-0.367
2020-01-20T04:00,2020-01-20,4,-0.343
2020-01-20T05:00,2020-01-20,5,-0.27
2020-01-20T06:00,2020-01-20,6,-0.188
2020-01-20T07:00,2020-01-20,7,-0.126
2020-01-20T08:00,2020-01-20,8,-0.079
2020-01-20T09:00,2020-01-20,9,-0.043
2020-01-20T10:00,2020-01-20,10,-0.04
2020-01-20T11:00,2020-01-20,11,-0.064
2020-01-20T12:00,2020-01-20,12,-0.062
2020-01-20T13:00,2020-01-20,13,0.001
2020-01-20T14:00,2020-01-20,14,0.097
2020-01-20T15:00,2020-01-20,15,0.186
2020-01-20T16:00,2020-01-20,16,0.277
2020-01-20T17:00,2020-01-20,17,0.388
2020-01-20T18:00,2020-01-20,18,0.49
2020-01-20T19:00,2020-01-20,19,0.533
2020-01-20T20:00,2020-01-20,20,0.504
2020-01-20T21:00,2020-01-20,21,0.415
2020-01-20T22:00,2020-01-20,22,0.262
2020-01-20T23:00,2020-01-20,23,0.046
2020-01-21T00:00,2020-01-21,0,-0.18
2020-01-21T01:00,2020-01-21,1,-0.351
2020-01-21T02:00,2020-01-21,2,-0.457
2020-01-21T03:00,2020-01-21,3,-0.53
2020-01-21T04:00,2020-01-21,4,-0.568
2020-01-21T05:00,2020-01-21,5,-0.532
2020-01-21T06:00,2020-01-21,6,-0.423
2020-01-21T07:00,2020-01-21,7,-0.29
2020-01-21T08:00,2020-01-21,8,-0.177
2020-01-21T09:00,2020-01-21,9,-0.085
2020-01-21T10:00,2020-01-21,10,-0.02
2020-01-21T11:00,2020-01-21,11,0.002
2020-01-21T12:00,2020-01-21,12,-0.001
2020-01-21T13:00,2020-01-21,13,0.028
2020-01-21T14:00,2020-01-21,14,0.107
2020-01-21T15:00,2020-01-21,15,0.201
2020-01-21T16:00,2020-01-21,16,0.28
2020-01-21T17:00,2020-01-21,17,0.369
2020-01-21T18:00,2020-01-21,18,0.488
2020-01-21T19:00,2020-01-21,19,0.596
2020-01-21T20:00,2020-01-21,20,0.633
2020-01-21T21:00,2020-01-21,21,0.582
2020-01-21T22:00,2020-01-21,22,0.453
2020-01-21T23:00,2020-01-21,23,0.248
2020-01-22T00:00,2020-01-22,0,-0.015
2020-01-22T01:00,2020-01-22,1,-0.273
2020-01-22T02:00,2020-01-22,2,-0.467
2020-01-22T03:00,2020-01-22,3,-0.596
2020-01-22T04:00,2020-01-22,4,-0.689
2020-01-22T05:00,2020-01-22,5,-0.722
2020-01-22T06:00,2020-01-22,6,-0.655
2020-01-22T07:00,2020-01-22,7,-0.499
2020-01-22T08:00,2020-01-22,8,-0.324
2020-01-22T09:00,2020-01-22,9,-0.177
2020-01-22T10:00,2020-01-22,10,-0.065
2020-01-22T11:00,2020-01-22,11,0.008
2020-01-22T12:00,2020-01-22,12,0.033
2020-01-22T13:00,2020-01-22,13,0.042
2020-01-22T14:00,2020-01-22,14,0.086
2020-01-22T15:00,2020-01-22,15,0.172
2020-01-22T16:00,2020-01-22,16,0.26
2020-01-22T17:00,2020-01-22,17,0.337
2020-01-22T18:00,2020-01-22,18,0.44
2020-01-22T19:00,2020-01-22,19,0.578
2020-01-22T20:00,2020-01-22,20,0.692
2020-01-22T21:00,2020-01-22,21,0.714
2020-01-22T22:00,2020-01-22,22,0.631
2020-01-22T23:00,2020-01-22,23,0.459
2020-01-23T00:00,2020-01-23,0,0.207
2020-01-23T01:00,2020-01-23,1,-0.092
2020-01-23T02:00,2020-01-23,2,-0.369
2020-01-23T03:00,2020-01-23,3,-0.575
2020-01-23T04:00,2020-01-23,4,-0.716
2020-01-23T05:00,2020-01-23,5,-0.807
2020-01-23T06:00,2020-01-23,6,-0.815
2020-01-23T07:00,2020-01-23,7,-0.702
2020-01-23T08:00,2020-01-23,8,-0.504
2020-01-23T09:00,2020-01-23,9,-0.304
2020-01-23T10:00,2020-01-23,10,-0.149
2020-01-23T11:00,2020-01-23,11,-0.039
2020-01-23T12:00,2020-01-23,12,0.026
2020-01-23T13:00,2020-01-23,13,0.047
2020-01-23T14:00,2020-01-23,14,0.06
2020-01-23T15:00,2020-01-23,15,0.112
2020-01-23T16:00,2020-01-23,16,0.2
2020-01-23T17:00,2020-01-23,17,0.288
2020-01-23T18:00,2020-01-23,18,0.378
2020-01-23T19:00,2020-01-23,19,0.507
2020-01-23T20:00,2020-01-23,20,0.664
2020-01-23T21:00,2020-01-23,21,0.773
2020-01-23T22:00,2020-01-23,22,0.766
2020-01-23T23:00,2020-01-23,23,0.644
2020-01-24T00:00,2020-01-24,0,0.429
2020-01-24T01:00,2020-01-24,1,0.142
2020-01-24T02:00,2020-01-24,2,-0.179
2020-01-24T03:00,2020-01-24,3,-0.462
2020-01-24T04:00,2020-01-24,4,-0.667
2020-01-24T05:00,2020-01-24,5,-0.803
2020-01-24T06:00,2020-01-24,6,-0.874
2020-01-24T07:00,2020-01-24,7,-0.839
2020-01-24T08:00,2020-01-24,8,-0.679
2020-01-24T09:00,2020-01-24,9,-0.454
2020-01-24T10:00,2020-01-24,10,-0.253
2020-01-24T11:00,2020-01-24,11,-0.113
2020-01-24T12:00,2020-01-24,12,-0.021
2020-01-24T13:00,2020-01-24,13,0.028
2020-01-24T14:00,2020-01-24,14,0.041
2020-01-24T15:00,2020-01-24,15,0.056
2020-01-24T16:00,2020-01-24,16,0.114
2020-01-24T17:00,2020-01-24,17,0.207
2020-01-24T18:00,2020-01-24,18,0.305
2020-01-24T19:00,2020-01-24,19,0.419
2020-01-24T20:00,2020-01-24,20,0.577
2020-01-24T21:00,2020-01-24,21,0.744
2020-01-24T22:00,2020-01-24,22,0.83
2020-01-24T23:00,2020-01-24,23,0.781
2020-01-25T00:00,2020-01-25,0,0.616
2020-01-25T01:00,2020-01-25,1,0.367
