date,latitude,longitude,timezone,utc_offset_seconds,sunrise_hours,sunrise_local,sunset_hours,sunset_local,zenith_deg,in_primary,in_resolution,impl_version,impl_sha256,spec_version
2020-01-17,5.98,116.01,UTC+8,28800,6.514464,06:30:52,18.328343,18:19:42,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-18,5.98,116.01,UTC+8,28800,6.518538,06:31:07,18.335375,18:20:07,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-19,5.98,116.01,UTC+8,28800,6.522400,06:31:21,18.342288,18:20:32,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-20,5.98,116.01,UTC+8,28800,6.526045,06:31:34,18.349076,18:20:57,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-21,5.98,116.01,UTC+8,28800,6.529471,06:31:46,18.355735,18:21:21,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-22,5.98,116.01,UTC+8,28800,6.532674,06:31:58,18.362258,18:21:44,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-23,5.98,116.01,UTC+8,28800,6.535652,06:32:08,18.368642,18:22:07,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-24,5.98,116.01,UTC+8,28800,6.538400,06:32:18,18.374881,18:22:30,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-25,5.98,116.01,UTC+8,28800,6.540918,06:32:27,18.380971,18:22:51,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-26,5.98,116.01,UTC+8,28800,6.543202,06:32:36,18.386908,18:23:13,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-27,5.98,116.01,UTC+8,28800,6.545251,06:32:43,18.392687,18:23:34,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-28,5.98,116.01,UTC+8,28800,6.547062,06:32:49,18.398304,18:23:54,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-29,5.98,116.01,UTC+8,28800,6.548634,06:32:55,18.403757,18:24:14,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-30,5.98,116.01,UTC+8,28800,6.549965,06:33:00,18.409040,18:24:33,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-01-31,5.98,116.01,UTC+8,28800,6.551054,06:33:04,18.414152,18:24:51,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-01,5.98,116.01,UTC+8,28800,6.551901,06:33:07,18.419090,18:25:09,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-02,5.98,116.01,UTC+8,28800,6.552504,06:33:09,18.423849,18:25:26,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-03,5.98,116.01,UTC+8,28800,6.552863,06:33:10,18.428429,18:25:42,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-04,5.98,116.01,UTC+8,28800,6.552977,06:33:11,18.432826,18:25:58,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-05,5.98,116.01,UTC+8,28800,6.552847,06:33:10,18.437040,18:26:13,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-06,5.98,116.01,UTC+8,28800,6.552473,06:33:09,18.441067,18:26:28,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-07,5.98,116.01,UTC+8,28800,6.551854,06:33:07,18.444907,18:26:42,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-08,5.98,116.01,UTC+8,28800,6.550993,06:33:04,18.448558,18:26:55,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-09,5.98,116.01,UTC+8,28800,6.549888,06:33:00,18.452019,18:27:07,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-10,5.98,116.01,UTC+8,28800,6.548542,06:32:55,18.455289,18:27:19,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-11,5.98,116.01,UTC+8,28800,6.546956,06:32:49,18.458369,18:27:30,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-12,5.98,116.01,UTC+8,28800,6.545131,06:32:42,18.461258,18:27:41,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-13,5.98,116.01,UTC+8,28800,6.543069,06:32:35,18.463955,18:27:50,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-14,5.98,116.01,UTC+8,28800,6.540771,06:32:27,18.466461,18:27:59,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-15,5.98,116.01,UTC+8,28800,6.538241,06:32:18,18.468777,18:28:08,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-16,5.98,116.01,UTC+8,28800,6.535480,06:32:08,18.470903,18:28:15,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-17,5.98,116.01,UTC+8,28800,6.532491,06:31:57,18.472840,18:28:22,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-18,5.98,116.01,UTC+8,28800,6.529277,06:31:45,18.474589,18:28:29,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-19,5.98,116.01,UTC+8,28800,6.525841,06:31:33,18.476153,18:28:34,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-20,5.98,116.01,UTC+8,28800,6.522185,06:31:20,18.477532,18:28:39,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-21,5.98,116.01,UTC+8,28800,6.518314,06:31:06,18.478728,18:28:43,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-22,5.98,116.01,UTC+8,28800,6.514231,06:30:51,18.479745,18:28:47,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-23,5.98,116.01,UTC+8,28800,6.509940,06:30:36,18.480583,18:28:50,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-24,5.98,116.01,UTC+8,28800,6.505444,06:30:20,18.481246,18:28:52,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-25,5.98,116.01,UTC+8,28800,6.500748,06:30:03,18.481737,18:28:54,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-26,5.98,116.01,UTC+8,28800,6.495856,06:29:45,18.482058,18:28:55,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-27,5.98,116.01,UTC+8,28800,6.490773,06:29:27,18.482213,18:28:56,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-28,5.98,116.01,UTC+8,28800,6.485504,06:29:08,18.482205,18:28:56,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-02-29,5.98,116.01,UTC+8,28800,6.480053,06:28:48,18.482039,18:28:55,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-01,5.98,116.01,UTC+8,28800,6.474425,06:28:28,18.481716,18:28:54,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-02,5.98,116.01,UTC+8,28800,6.468625,06:28:07,18.481243,18:28:52,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-03,5.98,116.01,UTC+8,28800,6.462659,06:27:46,18.480622,18:28:50,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-04,5.98,116.01,UTC+8,28800,6.456533,06:27:24,18.479859,18:28:47,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-05,5.98,116.01,UTC+8,28800,6.450251,06:27:01,18.478958,18:28:44,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-06,5.98,116.01,UTC+8,28800,6.443820,06:26:38,18.477922,18:28:41,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-07,5.98,116.01,UTC+8,28800,6.437246,06:26:14,18.476759,18:28:36,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-08,5.98,116.01,UTC+8,28800,6.430534,06:25:50,18.475471,18:28:32,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-09,5.98,116.01,UTC+8,28800,6.423691,06:25:25,18.474065,18:28:27,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-10,5.98,116.01,UTC+8,28800,6.416723,06:25:00,18.472546,18:28:21,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-11,5.98,116.01,UTC+8,28800,6.409635,06:24:35,18.470918,18:28:15,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-12,5.98,116.01,UTC+8,28800,6.402436,06:24:09,18.469188,18:28:09,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-13,5.98,116.01,UTC+8,28800,6.395130,06:23:42,18.467361,18:28:03,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-14,5.98,116.01,UTC+8,28800,6.387726,06:23:16,18.465443,18:27:56,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-15,5.98,116.01,UTC+8,28800,6.380228,06:22:49,18.463439,18:27:48,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-16,5.98,116.01,UTC+8,28800,6.372645,06:22:22,18.461356,18:27:41,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-17,5.98,116.01,UTC+8,28800,6.364983,06:21:54,18.459199,18:27:33,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-18,5.98,116.01,UTC+8,28800,6.357249,06:21:26,18.456974,18:27:25,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-19,5.98,116.01,UTC+8,28800,6.349449,06:20:58,18.454687,18:27:17,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-20,5.98,116.01,UTC+8,28800,6.341591,06:20:30,18.452345,18:27:08,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-21,5.98,116.01,UTC+8,28800,6.333682,06:20:01,18.449953,18:27:00,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-22,5.98,116.01,UTC+8,28800,6.325729,06:19:33,18.447518,18:26:51,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-23,5.98,116.01,UTC+8,28800,6.317738,06:19:04,18.445046,18:26:42,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-24,5.98,116.01,UTC+8,28800,6.309718,06:18:35,18.442543,18:26:33,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-25,5.98,116.01,UTC+8,28800,6.301674,06:18:06,18.440015,18:26:24,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-26,5.98,116.01,UTC+8,28800,6.293614,06:17:37,18.437468,18:26:15,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-27,5.98,116.01,UTC+8,28800,6.285545,06:17:08,18.434909,18:26:06,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-28,5.98,116.01,UTC+8,28800,6.277474,06:16:39,18.432344,18:25:56,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-29,5.98,116.01,UTC+8,28800,6.269408,06:16:10,18.429778,18:25:47,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-30,5.98,116.01,UTC+8,28800,6.261354,06:15:41,18.427218,18:25:38,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-03-31,5.98,116.01,UTC+8,28800,6.253319,06:15:12,18.424671,18:25:29,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-01,5.98,116.01,UTC+8,28800,6.245310,06:14:43,18.422141,18:25:20,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-02,5.98,116.01,UTC+8,28800,6.237334,06:14:14,18.419635,18:25:11,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-03,5.98,116.01,UTC+8,28800,6.229397,06:13:46,18.417159,18:25:02,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-04,5.98,116.01,UTC+8,28800,6.221506,06:13:17,18.414719,18:24:53,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-05,5.98,116.01,UTC+8,28800,6.213668,06:12:49,18.412319,18:24:44,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-06,5.98,116.01,UTC+8,28800,6.205890,06:12:21,18.409966,18:24:36,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-07,5.98,116.01,UTC+8,28800,6.198177,06:11:53,18.407666,18:24:28,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-08,5.98,116.01,UTC+8,28800,6.190537,06:11:26,18.405422,18:24:20,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-09,5.98,116.01,UTC+8,28800,6.182975,06:10:59,18.403242,18:24:12,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-10,5.98,116.01,UTC+8,28800,6.175498,06:10:32,18.401130,18:24:04,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-11,5.98,116.01,UTC+8,28800,6.168112,06:10:05,18.399090,18:23:57,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-12,5.98,116.01,UTC+8,28800,6.160823,06:09:39,18.397128,18:23:50,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-13,5.98,116.01,UTC+8,28800,6.153636,06:09:13,18.395248,18:23:43,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-14,5.98,116.01,UTC+8,28800,6.146558,06:08:48,18.393456,18:23:36,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-15,5.98,116.01,UTC+8,28800,6.139593,06:08:23,18.391754,18:23:30,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-16,5.98,116.01,UTC+8,28800,6.132748,06:07:58,18.390149,18:23:25,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-17,5.98,116.01,UTC+8,28800,6.126027,06:07:34,18.388642,18:23:19,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-18,5.98,116.01,UTC+8,28800,6.119436,06:07:10,18.387239,18:23:14,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-19,5.98,116.01,UTC+8,28800,6.112980,06:06:47,18.385943,18:23:09,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-20,5.98,116.01,UTC+8,28800,6.106664,06:06:24,18.384758,18:23:05,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-21,5.98,116.01,UTC+8,28800,6.100491,06:06:02,18.383686,18:23:01,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-22,5.98,116.01,UTC+8,28800,6.094468,06:05:40,18.382731,18:22:58,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-23,5.98,116.01,UTC+8,28800,6.088597,06:05:19,18.381896,18:22:55,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-24,5.98,116.01,UTC+8,28800,6.082884,06:04:58,18.381184,18:22:52,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-25,5.98,116.01,UTC+8,28800,6.077331,06:04:38,18.380596,18:22:50,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-26,5.98,116.01,UTC+8,28800,6.071944,06:04:19,18.380135,18:22:48,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-27,5.98,116.01,UTC+8,28800,6.066725,06:04:00,18.379804,18:22:47,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-28,5.98,116.01,UTC+8,28800,6.061678,06:03:42,18.379603,18:22:47,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-29,5.98,116.01,UTC+8,28800,6.056806,06:03:25,18.379535,18:22:46,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-04-30,5.98,116.01,UTC+8,28800,6.052112,06:03:08,18.379601,18:22:47,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-05-01,5.98,116.01,UTC+8,28800,6.047599,06:02:51,18.379802,18:22:47,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
2020-05-02,5.98,116.01,UTC+8,28800,6.043269,06:02:36,18.380139,18:22:49,90.833,Y,N,solar-v1,3b7dc371ebe5931b3336f9982c5806a06a515dc2032569f5da7720470c1ec36c,solar-spec-v1
