claim_id,manuscript_section,claim_text_summary,claim_type,authority,evidence_status,allowed_scope,prohibited_interpretation,verification
C8B1-15,9.6 / 11.5 / 12.4,"Hysteresis is a retained low-cost precaution, not a mitigation for a demonstrated instability",DESIGN_INTERPRETATION,docs/canonical/empirical-findings-2026-09-06.md F-6 and mode-chattering block,CLOSED,Interpretation bounded by the measured near-null oscillation rate at hourly resolution,Do not restate the original unqualified mode-chattering claim; do not extend below hourly resolution,PASS
C8B1-16,9.7,"Thresholds, rules and artefacts are specific to the Kota Kinabalu instantiation",LIMITATION,CLAUDE.md threshold provenance; finding-met-hydrodynamic-gap.md; layer3-prototype-specification.md S19,CLOSED,Site-specific instantiation statement,Do not claim transfer of thresholds or rules to another site or fleet,PASS
C8B1-17,10 preamble / Table 7,Four evidence classes with distinct instruments and reporting boundaries; each claim carries exactly one class,DESIGN_INTERPRETATION,evaluation-specification.md S18 and guiding principles,CLOSED,Evaluation matrix as specified,Do not substitute one evidence class for another or present them as a single validation,PASS
C8B1-18,10 / Table 7,F1-F3 are CLOSED PASS and E5 is OPEN,IMPLEMENTATION_FIDELITY / PERFORMANCE,Batch 5 evidence (F1-F3); latency-results.json target_hardware_evidence=false (E5),CLOSED (F1-F3); OPEN (E5),Status as at submission,Do not report E5 as closed; note that evaluation-specification.md S7/S14/S17 still carry pre-Batch-5 OPEN wording (recorded as drift),PASS
C8B1-19,10.1,"C1 and C2 differ in exactly one cell, A_AI(CAUTION); C3 is a structural comparator and not a fourth arm",DESIGN_INTERPRETATION,"evaluation-specification.md S3, S4; scripts/condition_comparison.py mapping literals",CLOSED,Condition definitions and comparator role,Do not present C3 as an experimental arm or claim the precedent system was reproduced or is deficient,PASS
C8B1-20,10.1,"Fairness qualification: the precedent conditions its index on AI degradation, not environmental state; A_C3(CAUTION)=FULL is a reading",DESIGN_INTERPRETATION,evaluation-specification.md S4 and S16 (J1-P1 modelling premise),CLOSED,Explicit modelling premise disclosed with the result that depends on it,Do not present the premise as established fact or omit it when citing E6,PASS
C8B1-21,10.2,"D={m}: the marine-warning component is excluded, so every severity figure is a lower bound",LIMITATION,CLAUDE.md bottom-semantics block; evaluation-specification.md S16; appendix-c C.2.0.5,CLOSED,Declared exclusion with lower-bound consequence,"Do not treat m as faulted in replay, nor as evidence that no marine hazard occurred",PASS
C8B1-22,10.4 / 11.7,E5 harness is validated and a development-machine reference run is complete; target-hardware measurement is not,PERFORMANCE_REFERENCE,"data/journal1-e5-benchmark/latency-results.json (run_type, scientific_status, disclaimer)",OPEN (E5); harness CLOSED,Harness validation and reference measurement only,"Never call the reference deployment, target-hardware, mobile, Android, real-time or production performance",PASS
C8B1-23,10.4 / 11.7,H3 = X ms remains OPEN and UNSUPPORTED; no acceptance threshold is applied,LIMITATION,evaluation-specification.md S11 and S17 OPEN-1,OPEN,Descriptive latency reporting without a pass/fail criterion,Do not invent a threshold or convert low reference latency into an H3 PASS,PASS
C8B1-24,10.5,"The replay is a deterministic census; no p-values, confidence intervals or significance tests are applied",DESIGN_INTERPRETATION,evaluation-specification.md S12,CLOSED,Exact descriptive values for the analysed trace and configuration,"Not a random sample, probabilistic trial or population estimate; PRIMARY/RESOLUTION is not an error bar",PASS
C8B1-25,11.1,"P1-P4 are established by proof and are restated, not measured",FORMAL,manuscript S6 Theorems 6.1-6.3; evaluation-specification.md S6 (P4/J1-P1),CLOSED,Formal properties under the stated assumptions,"Do not state that replay evidence proves the theorems, nor that the theorems establish empirical safety effectiveness or optimality",PASS
C8B1-26,11.3 Tables 8-9,"Pairwise admissible-set divergence for C0/C1/C2/C3 under both configurations, departure window and all hours",EMPIRICAL_TRACE,scripts/condition_comparison.py via data/c8/canonical-results-post-migration.txt,CLOSED,Share of hours on which two conditions permit different admissible sets,"Not hours on which a recommendation was produced, a fisher affected, or a decision changed",PASS
C8B1-27,11.3,"Two structural identities hold exactly: div(C1,C2)=CAUTION rate and div(C0,C1)=UNSAFE rate",EMPIRICAL_TRACE,derived from the state distributions and divergence matrices in the same artefact,CLOSED (derived),Harness-consistency check,Do not present as an independent empirical finding,PASS
C8B1-28,11.4 Table 10,Delta_L2 = 5.81% PRIMARY / 4.48% RESOLUTION is the isolated Level 2 contribution,EMPIRICAL_TRACE,scripts/condition_comparison.py; empirical-findings-2026-09-06.md S0a,CLOSED,Additional advisory-scope governance relative to binary participation-only governance,"Not 5.81% safer, risk reduction, accident prevention or accuracy improvement",PASS
C8B1-29,11.4 / 12.2,"The 1.3-point PRIMARY/RESOLUTION gap is the resolution-sensitivity result; E3 scope is {E1,E2,E6}",EMPIRICAL_TRACE,evaluation-specification.md S13 (post E3/E4 micro-repair),CLOSED,Sensitivity across configurations for like-for-like comparable quantities,Not a confidence interval; do not average the configurations; do not require a RESOLUTION analogue for E4,PASS
C8B1-30,11.5 Table 11,"3661 transitions, 3439 scheduled, 222 non-scheduled, 26 oscillations, 10.36% hysteresis reduction",EMPIRICAL_TRACE,scripts/hysteresis_analysis.py via data/c8/canonical-results-post-migration.txt,CLOSED (PRIMARY only),"PRIMARY temporal-dynamics characterisation, bounded at hourly resolution",Do not invent RESOLUTION E4 values; do not extend the bound below hourly resolution,PASS
C8B1-31,11.5,Provenance chain 5416 -> 5220 (threshold) -> 5201 (data) -> 3661 (g_t),EMPIRICAL_TRACE,data/c7/baseline-provenance.csv P09 row,CLOSED,Attribution of the change across three separate corrections,Do not attribute 5416 -> 3661 to g_t alone,PASS
C8B1-32,11.5,E4 is PRIMARY-only by scope; no resolution-insensitivity claim is made,LIMITATION,evaluation-specification.md S13 (E4_RESOLUTION = NOT_REQUIRED_BY_CURRENT_E3_DESIGN),CLOSED,Scoped exclusion with stated methodological reason,"Do not claim E4 is resolution-insensitive, would reproduce under MFWAM, or that RESOLUTION E4 equals PRIMARY E4",PASS
C8B1-33,11.6,C1 <-> C3 = 0.00% confirms an already-established structural equivalence,EMPIRICAL_TRACE,scripts/condition_comparison.py mapping literals; evaluation-specification.md S6 three-levels table,CLOSED,Executable confirmation of implementation consistency,Not an empirical discovery that the architectures are universally identical,PASS
C8B1-34,11.7 Table 12,"Development-machine reference latencies for W-SAFE, W-CAUTION and W-UNSAFE",PERFORMANCE_REFERENCE,data/journal1-e5-benchmark/latency-results.json,OPEN (E5),Reference measurement on the stated development machine only,"No extrapolation, scaling or adjustment to target-device latency; not deployment evidence",PASS
C8B1-35,11.7,"Peak RSS is process-lifetime peak, not per-episode memory; CPU is measured-loop user time, not utilisation",PERFORMANCE_REFERENCE,data/journal1-e5-benchmark/latency-results.json resource.*_scope fields,OPEN (E5),Measurement semantics as instrumented,"Do not read as per-episode memory, CPU percentage or a device resource budget",PASS
C8B1-36,11.7,"Target-hardware benchmarking remains outstanding and mandatory; no emulator, CI or cloud substitute is offered",FUTURE_WORK,latency-results.json target_hardware_evidence=false; Batch 7B deferral,OPEN,Deferred for want of representative physical hardware,"Do not simulate, estimate or scale Android performance as target evidence",PASS
C8B1-37,12 preamble,Ablations remove a mapping and observe a difference; a descriptive difference is not a causal effect,DESIGN_INTERPRETATION,evaluation-specification.md S10; S12 statistical treatment,CLOSED,Interpretive boundary on the ablation results,Do not infer causal effects or outcome improvements from ablation differences,PASS
C8B1-38,12.1 Table 13,Level 2 contributes 5.81%/4.48%; Level 1 contributes 42.88%/41.08%; both 48.69%/45.56%,EMPIRICAL_TRACE,same as C8B1-26 and C8B1-28,CLOSED,Governance-level contributions over the departure window,The larger Level 1 figure does not indicate greater value; the two act over differently sized portions of the record,PASS
C8B1-39,12.5,Worst-case-aggregation ablation and component ablation were not performed and are labelled future work,FUTURE_WORK,evaluation-design-rq4.md SC-16..SC-20 specified against superseded thresholds; no execution artefact exists,OPEN,Explicit statement that these ablations have no closed evidence,Do not report either as a completed ablation,PASS
