quantity_id,claim,metric,value,configuration,source_artefact,source_field,status,manuscript_location
Q-16,Rule activation,R-CAUTION-004 selected / TRUE / fired / advisories,260 / 108 / 108 / 108,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/rule-activation-summary.csv,"times_selected, predicate_TRUE, times_fired, advisories_generated",CLOSED,S9.5 Table 6
Q-17,Rule activation,R-SAFE-001 selected / fired / advisories (DEFERRED),0 / 0 / 0,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/rule-activation-summary.csv,implementation_status=DEFERRED; times_selected=0,CLOSED,S9.3 Table 4; S9.5 Table 6
Q-18,Rule activation,predicate ERROR occurrences,0,interface-contract exhaustive census,data/journal1-layer3-prototype/batch5-fidelity-evaluation/rule-activation-summary.csv,predicate_ERROR (all rows),CLOSED,S9.5 Table 6 and following paragraph
Q-19,Replay scope,PRIMARY hourly records,43848,"PRIMARY (5.00 yr, ERA5-Ocean ~50 km)",data/c8/canonical-results-post-migration.txt,hourly records / ALL HOURS n,CLOSED,S10.2; S11.3 Table 9
Q-20,Replay scope,RESOLUTION hourly records,28501,"RESOLUTION (3.25 yr, MFWAM ~8 km)",data/c8/canonical-results-post-migration.txt,hourly records / ALL HOURS n,CLOSED,S10.2; S11.3 Table 9
Q-21,Replay scope,PRIMARY departure-window hours (05:00-09:00),9135,PRIMARY,data/c8/canonical-results-post-migration.txt,DEPARTURE WINDOW 05:00-09:00 n,CLOSED,S10.2; S11.3 Table 8
Q-22,Replay scope,RESOLUTION departure-window hours (05:00-09:00),5935,RESOLUTION,data/c8/canonical-results-post-migration.txt,DEPARTURE WINDOW 05:00-09:00 n,CLOSED,S10.2; S11.3 Table 8
Q-23,E1,"div(C0,C1) departure window",42.88%,PRIMARY,data/c8/canonical-results-post-migration.txt,pairwise divergence matrix,CLOSED,S11.3 Table 8; S11.4 Table 10; S12.1 Table 13
Q-24,E1,"div(C0,C2) departure window",48.69%,PRIMARY,data/c8/canonical-results-post-migration.txt,pairwise divergence matrix,CLOSED,S11.3 Table 8; S11.4 Table 10; S12.1 Table 13
Q-25,E1,"div(C1,C2) departure window",5.81%,PRIMARY,data/c8/canonical-results-post-migration.txt,pairwise divergence matrix,CLOSED,S11.3 Table 8
Q-26,E6,"div(C1,C3) departure window",0.00%,PRIMARY,data/c8/canonical-results-post-migration.txt,pairwise divergence matrix; C1 vs C3 section,CLOSED,S11.3 Table 8; S11.6
Q-27,E1,"div(C0,C1) departure window",41.08%,RESOLUTION,data/c8/canonical-results-post-migration.txt; data/prediction-register.csv P24 actual=41.0783,pairwise divergence matrix,CLOSED,S11.3 Table 8; S11.4 Table 10; S12.1 Table 13
Q-28,E1,"div(C0,C2) departure window",45.56%,RESOLUTION,data/c8/canonical-results-post-migration.txt; data/prediction-register.csv P23 actual=45.5602,pairwise divergence matrix,CLOSED,S11.3 Table 8; S11.4 Table 10; S12.1 Table 13
Q-29,E1,"div(C1,C2) departure window",4.48%,RESOLUTION,data/c8/canonical-results-post-migration.txt; data/prediction-register.csv P22 actual=4.4819,pairwise divergence matrix,CLOSED,S11.3 Table 8
Q-30,E6,"div(C1,C3) departure window",0.00%,RESOLUTION,data/c8/canonical-results-post-migration.txt; data/prediction-register.csv P21 actual=0.0000,pairwise divergence matrix,CLOSED,S11.3 Table 8; S11.6
Q-31,E1,"div(C0,C1) all hours",53.27%,PRIMARY,data/c8/canonical-results-post-migration.txt,ALL HOURS divergence matrix,CLOSED,S11.3 Table 9
Q-32,E1,"div(C0,C2) all hours",58.03%,PRIMARY,data/c8/canonical-results-post-migration.txt,ALL HOURS divergence matrix,CLOSED,S11.3 Table 9
Q-33,E1,"div(C1,C2) all hours",4.77%,PRIMARY,data/c8/canonical-results-post-migration.txt,ALL HOURS divergence matrix,CLOSED,S11.3 Table 9
Q-34,E6,"div(C1,C3) all hours",0.00%,PRIMARY,data/c8/canonical-results-post-migration.txt,C1 vs C3 BOTH CONFIGURATIONS,CLOSED,S11.3 Table 9; S11.6
Q-35,E1,"div(C0,C1) all hours",52.11%,RESOLUTION,data/c8/canonical-results-post-migration.txt,ALL HOURS divergence matrix,CLOSED,S11.3 Table 9
Q-36,E1,"div(C0,C2) all hours",56.00%,RESOLUTION,data/c8/canonical-results-post-migration.txt,ALL HOURS divergence matrix,CLOSED,S11.3 Table 9
Q-37,E1,"div(C1,C2) all hours",3.89%,RESOLUTION,data/c8/canonical-results-post-migration.txt,ALL HOURS divergence matrix,CLOSED,S11.3 Table 9
Q-38,E6,"div(C1,C3) all hours",0.00%,RESOLUTION,data/c8/canonical-results-post-migration.txt,C1 vs C3 BOTH CONFIGURATIONS,CLOSED,S11.3 Table 9; S11.6
Q-39,E1 support,state distribution all hours SAFE/CAUTION/UNSAFE,18401 (42.0%) / 2091 (4.8%) / 23356 (53.3%),PRIMARY,data/c8/canonical-results-post-migration.txt,ALL HOURS state distribution,CLOSED,S11.3 state-distribution table
Q-40,E1 support,state distribution departure window SAFE/CAUTION/UNSAFE,4687 (51.3%) / 531 (5.8%) / 3917 (42.9%),PRIMARY,data/c8/canonical-results-post-migration.txt,DEPARTURE WINDOW state distribution,CLOSED,S11.3 state-distribution table; S12.1
Q-41,E1 support,state distribution all hours SAFE/CAUTION/UNSAFE,12540 (44.0%) / 1110 (3.9%) / 14851 (52.1%),RESOLUTION,data/c8/canonical-results-post-migration.txt,ALL HOURS state distribution,CLOSED,S11.3 state-distribution table
Q-42,E1 support,state distribution departure window SAFE/CAUTION/UNSAFE,3231 (54.4%) / 266 (4.5%) / 2438 (41.1%),RESOLUTION,data/c8/canonical-results-post-migration.txt,DEPARTURE WINDOW state distribution,CLOSED,S11.3 state-distribution table
Q-43,E1 consistency check,"CAUTION share of departure window = div(C1,C2)",531/9135 = 5.8128%,PRIMARY,derived from Q-40 and Q-21; cross-checks data/prediction-register.csv P04 actual=5.8128078817733995,arithmetic identity,CLOSED (derived),S11.3 structural checks
Q-44,E1 consistency check,"CAUTION share of departure window = div(C1,C2)",266/5935 = 4.4819%,RESOLUTION,derived from Q-42 and Q-22; cross-checks data/prediction-register.csv P22 actual=4.4819,arithmetic identity,CLOSED (derived),S11.3 structural checks
Q-45,E1 consistency check,"UNSAFE share of departure window = div(C0,C1)",3917/9135 = 42.88%,PRIMARY,derived from Q-40 and Q-21,arithmetic identity,CLOSED (derived),S11.3 structural checks
Q-46,E1 consistency check,"UNSAFE share of departure window = div(C0,C1)",2438/5935 = 41.08%,RESOLUTION,derived from Q-42 and Q-22,arithmetic identity,CLOSED (derived),S11.3 structural checks
Q-47,E2,isolated Level 2 contribution Delta_L2,5.81%,PRIMARY,data/c8/canonical-results-post-migration.txt; docs/canonical/empirical-findings-2026-09-06.md S0a,ISOLATING THE LEVEL 2 CONTRIBUTION,CLOSED,S11.4 Table 10; S12.1 Table 13
Q-48,E2,isolated Level 2 contribution Delta_L2,4.48%,RESOLUTION,data/c8/canonical-results-post-migration.txt; docs/canonical/empirical-findings-2026-09-06.md S0a,Level 2 contribution isolated row,CLOSED,S11.4 Table 10; S12.1 Table 13
Q-49,E3,PRIMARY/RESOLUTION spread on Delta_L2,1.3 percentage points,cross-configuration,derived from Q-47 and Q-48; docs/canonical/empirical-findings-2026-09-06.md S0a,arithmetic difference,CLOSED (derived),S11.4; S12.2
Q-50,E1 ablation,combined Level 1+2 contribution (C2 -> C0),48.69% / 45.56%,PRIMARY / RESOLUTION,same as Q-24 and Q-28,pairwise divergence matrix,CLOSED,S12.1 Table 13
Q-51,E4,total state transitions without hysteresis,3661,PRIMARY (PRIMARY-only; no RESOLUTION analogue),data/c8/canonical-results-post-migration.txt,TRANSITION COUNTS - WITHOUT hysteresis,CLOSED,S11.5 Table 11; S12.4
Q-52,E4,scheduled transitions without hysteresis,3439 (93.9%),PRIMARY,data/c8/canonical-results-post-migration.txt,TRANSITION COUNTS - WITHOUT hysteresis,CLOSED,S11.5 Table 11; S12.4
Q-53,E4,non-scheduled transitions without hysteresis,222,PRIMARY,data/c8/canonical-results-post-migration.txt,TRANSITION COUNTS - WITHOUT hysteresis,CLOSED,S11.5 Table 11; S12.4
Q-54,E4,total state transitions with hysteresis,3575,PRIMARY,data/c8/canonical-results-post-migration.txt,TRANSITION COUNTS - WITH hysteresis,CLOSED,S11.5 Table 11; S12.4
Q-55,E4,scheduled transitions with hysteresis,3376,PRIMARY,data/c8/canonical-results-post-migration.txt,TRANSITION COUNTS - WITH hysteresis,CLOSED,S11.5 Table 11
Q-56,E4,non-scheduled transitions with hysteresis,199,PRIMARY,data/c8/canonical-results-post-migration.txt,TRANSITION COUNTS - WITH hysteresis,CLOSED,S11.5 Table 11; S12.4
Q-57,E4,genuine oscillations without hysteresis,26 (5.2/yr),PRIMARY,data/c8/canonical-results-post-migration.txt,MODE-CHATTERING without hysteresis,CLOSED,S9.6; S11.5 Table 11; S12.4
Q-58,E4,genuine oscillations with hysteresis,20 (4.0/yr),PRIMARY,data/c8/canonical-results-post-migration.txt,MODE-CHATTERING with hysteresis,CLOSED,S11.5 Table 11; S12.4
Q-59,E4,reduction in non-scheduled transitions from hysteresis,10.36%,PRIMARY,docs/canonical/empirical-findings-2026-09-06.md mode-chattering block; derived 23/222 from Q-53 and Q-56,canonical figure (10.4% rounded in c8 output),CLOSED,S9.6; S11.5 Table 11; S12.4
Q-60,E4,replay span in days,1827,PRIMARY,data/c8/canonical-results-post-migration.txt,"Loaded 43,848 records over 1827 days",CLOSED,S11.5 Table 11 caption
Q-61,E4 provenance,superseded transition counts 5416 -> 5220 -> 5201 -> 3661,5416 / 5220 / 5201 / 3661,vintage chain,data/c7/baseline-provenance.csv P09 row,vintage_A_v1_preamend / vintage_B_v1_current / vintage_C_v2_current / canonical,CLOSED (provenance only),S11.5 provenance block
Q-62,E5 reference,W-SAFE mean / median / p95 / p99 / sd (ms),0.2066 / 0.2031 / 0.2342 / 0.2537 / 0.0172,DEVELOPMENT_MACHINE_REFERENCE,data/journal1-e5-benchmark/latency-results.json,workloads.W-SAFE.summary,OPEN (E5); reference run complete,S11.7 Table 12
Q-63,E5 reference,W-CAUTION mean / median / p95 / p99 / sd (ms),0.2117 / 0.2126 / 0.2243 / 0.2592 / 0.0114,DEVELOPMENT_MACHINE_REFERENCE,data/journal1-e5-benchmark/latency-results.json,workloads.W-CAUTION.summary,OPEN (E5); reference run complete,S11.7 Table 12
Q-64,E5 reference,W-UNSAFE mean / median / p95 / p99 / sd (ms),0.1944 / 0.1961 / 0.2043 / 0.2498 / 0.0120,DEVELOPMENT_MACHINE_REFERENCE,data/journal1-e5-benchmark/latency-results.json,workloads.W-UNSAFE.summary,OPEN (E5); reference run complete,S11.7 Table 12
Q-65,E5 reference,process-lifetime peak RSS range (MB),66.34 - 66.88,DEVELOPMENT_MACHINE_REFERENCE,data/journal1-e5-benchmark/latency-results.json,workloads.*.resource.peak_rss_mb,OPEN (E5); reference run complete,S11.7 resource paragraph
Q-66,E5 reference,measured-loop user CPU time range (s),0.0975 - 0.1060,DEVELOPMENT_MACHINE_REFERENCE,data/journal1-e5-benchmark/latency-results.json,workloads.*.resource.cpu_user_time_s,OPEN (E5); reference run complete,S11.7 resource paragraph
Q-67,E5 protocol,measured repetitions / warm-up iterations per workload,500 / 50,DEVELOPMENT_MACHINE_REFERENCE,data/journal1-e5-benchmark/latency-results.json,benchmark_parameters,CLOSED (harness),S10.4; S11.7 Table 12 caption
Q-68,E5 protocol,hardware profile of the reference machine,MacBook Pro; Apple M3 Pro; arm64; 36 GB; macOS 26.2; Python 3.9.6; AC power,DEVELOPMENT_MACHINE_REFERENCE,data/journal1-e5-benchmark/latency-results.json,hardware_profile,CLOSED (harness),S11.7 Table 12 caption
Q-69,E5 status,target hardware evidence flag,false,n/a,data/journal1-e5-benchmark/latency-results.json,target_hardware_evidence,OPEN,S10.4; S11.7
